id,Q5: What movie do you think of when thinking of this food item?,Label
722500,The Avengers ,Shawarma
602824,Black Hawk Down,Shawarma
618355,dictator,Shawarma
611097,The Avengers,Shawarma
634328,The Avengers,Shawarma
607160,Dangal,Shawarma
728522,Kungfu Panda,Shawarma
718570,None,Shawarma
714598,The Avengers,Shawarma
601950,black hawk down,Shawarma
612478,Avengers,Shawarma
501416,N/A (I don't watch a lot of movies),Shawarma
629710,The Avengers ,Shawarma
502610,Alladin,Shawarma
603476,Cloudy with a Chance of Meatballs,Shawarma
600957,How to lose a guy in 10 days,Shawarma
713423,"Can't think of any (don't have an idea about the taste of Shawarma, and haven't seen it in any movie that I've watched)",Shawarma
722431,The Avengers.,Shawarma
633234,Babylon,Shawarma
148179,None,Shawarma
715845,Dangal,Shawarma
632153,Avengers,Shawarma
606552,Lord of the rings,Shawarma
738409,None,Shawarma
612096,Aladdin,Shawarma
743537,The Avengers (2012),Shawarma
632896,The Avengers,Shawarma
605207,Avengers,Shawarma
617542,None,Shawarma
719554,None,Shawarma
627427,Prince of Egypt,Shawarma
411315,Borat,Shawarma
631507,The Avengers (2012),Shawarma
627798,The Avengers,Shawarma
712093,Harold and Kumar,Shawarma
627488,Gossip Girl,Shawarma
626493,The Avengers,Shawarma
601363,Monty Python,Shawarma
712898,The Avengers,Shawarma
603398,Avengers,Shawarma
631012,Khabi Khushi Khabi Gham,Shawarma
601848,Mission: Impossible – Dead Reckoning Part One,Shawarma
612131,Avengers Endgame,Shawarma
408630,3 Idiots,Shawarma
632091,no movie,Shawarma
601122,The Avengers,Shawarma
602871,The Avengers,Shawarma
520828,The Avengers,Shawarma
514199,None,Shawarma
389697,None,Shawarma
714430,spiderman,Shawarma
612567,Dune,Shawarma
744468,Avengers,Shawarma
502722,Advengers 2012 Movie,Shawarma
519681,Parasite,Shawarma
631125,The Avengers,Shawarma
606119,Borat,Shawarma
627252,None come to mind,Shawarma
616568,i dont know,Shawarma
603838,The Avengers,Shawarma
719735,None,Shawarma
608062,Batman the dark knight ,Shawarma
608704,The Avengers,Shawarma
520383,I don't think of a movie when thinking of this food item,Shawarma
603793,the avengers,Shawarma
603933,The Avengers,Shawarma
605519,The mummy,Shawarma
524803,The Dictator,Shawarma
629712,Taxi Driver,Shawarma
627505,The Dictator,Shawarma
526131,"I've never had them before attending U of T, so I don't associate them with anything.",Shawarma
607065,Avengers,Shawarma
500077,none,Shawarma
633350,The Avengers,Shawarma
601945,Deadpool & Wolverine,Shawarma
629878,Not sure,Shawarma
712766,The Avengers,Shawarma
603664,The Avengers,Shawarma
840827,Comedy movie,Shawarma
604897,The Avengers,Shawarma
525422,Avengers,Shawarma
602560,Probably some niche movie or some movie specific to a country and not an English movie. ,Shawarma
738379,Avengers,Shawarma
622023,Avengers,Shawarma
604770,avengers,Shawarma
608318,You Don't Mess with the Zohan,Shawarma
626757,Avengers endgame,Shawarma
745297,Borat,Shawarma
627599,Avengers,Shawarma
520037,Avengers,Shawarma
632189,Spider man spider verse,Shawarma
627636,Pulp fiction,Shawarma
295428,squid game,Shawarma
228777,Star Wars,Shawarma
609278,Aladdin,Shawarma
614089,The Avengers ,Shawarma
607517,Avengers,Shawarma
714607,Alladin,Shawarma
716650,The only movie that is associated with this food item would be the first Avengers due to the post credit scene.,Shawarma
497695,Gladiator,Shawarma
496858,The Avengers movie when they eat shawarma in the end credits scene!,Shawarma
608688,The Avengers,Shawarma
604386,Avengers,Shawarma
628559,Iron Man,Shawarma
715152,Any bollywood movie,Shawarma
604110,The Avengers,Shawarma
629010,The Avengers,Shawarma
605254,None,Shawarma
628990,None,Shawarma
625295,None in particular,Shawarma
603415,Scott Pilgrim vs. the World,Shawarma
635533,Son of Babylon,Shawarma
630389,Avengers 1,Shawarma
714901,The Avengers,Shawarma
629792,avengers,Shawarma
629025,The Avengers,Shawarma
524441,Avengers,Shawarma
389109,"Cloudy With a Chance of Meatballs again? (Shawarmas don't appear in that though, but hey it's food)",Shawarma
631216,Avengers,Shawarma
738875,Deadpool & Wolverine,Shawarma
634669,The Avengers,Shawarma
409940,avengers,Shawarma
399605,avengers,Shawarma
721831,Bad Boys,Shawarma
835223,-,Shawarma
712938,3 Idiots,Shawarma
395712,Avengers,Shawarma
603388,The Avengers,Shawarma
617774,The social network,Shawarma
289440,The Avengers  ,Shawarma
714503,documenary,Shawarma
714893,Avengers,Shawarma
601094,The Avengers,Shawarma
618150,None,Shawarma
607944,chef,Shawarma
629844,Minions,Shawarma
626482,The Big Sick,Shawarma
609257,Jurassic Park,Shawarma
717921,Wicked,Shawarma
181851,None,Shawarma
629041,Aladdin,Shawarma
604062,Marvel's Avengers,Shawarma
716749,no,Shawarma
633143,The Avengers 1,Shawarma
743828,Avengers,Shawarma
520861,None,Shawarma
517019,Avengers,Shawarma
626779,i dont know,Shawarma
611716,The Avenger,Shawarma
193195,Avengers,Shawarma
627530,Arcane,Shawarma
626479,Avengers because of Iron Man asking everyone to get shawarma after the fight,Shawarma
624540,Bahen,Shawarma
625315,The Avengers,Shawarma
601941,"none, only thing I know about it is the game, shawarma legend.",Shawarma
723968,Legend of Shawama,Shawarma
715806,Aladdin,Shawarma
720045,Avengers,Shawarma
713585,Idk,Shawarma
611188,The Mummy,Shawarma
606726,The Kite Runner,Shawarma
629142,I think of the movie The Avengers.,Shawarma
634825,Marvel Avengers,Shawarma
613409,Forest Gump,Shawarma
633224,John Wick,Shawarma
738850,The Avengers,Shawarma
500470,Avengers,Shawarma
13183,Aladdin,Shawarma
627169,Ratatouille,Shawarma
229041,Avengers ,Shawarma
496344,Avengers,Shawarma
409723,The Avengers,Shawarma
630949,Star Wars,Shawarma
413014,"I think of movies that take place in Toronto since it's so common here, such as Scott Pilgrim vs The World",Shawarma
310438,The Avengers ,Shawarma
627430,The avengers,Shawarma
526510,None,Shawarma
390823,Scott Pilgrim,Shawarma
717116,The Avengers,Shawarma
712143,"Shawarma Legend
---------------",Shawarma
612538,Avengers,Shawarma
627539,Rush Hour,Shawarma
603812,Good Will Hunting,Shawarma
740568,Fight Club,Shawarma
712702,Shawarma Bowl,Shawarma
519638,Drive,Shawarma
627800,Avengers ,Shawarma
406863,Lion King,Shawarma
726962,Captain of America,Shawarma
628077,The Avengers,Shawarma
601693,The Avengers,Shawarma
517096,The Avengers,Shawarma
606821,Avengers,Shawarma
455047,None,Shawarma
625576,The Avengers,Shawarma
716549,Spirited Away,Sushi
715742,Japanese movies,Sushi
727333,cartoon movie,Sushi
606874,Johnny English,Sushi
505318,Karate Kid,Sushi
605771,None,Sushi
606929,drange,Sushi
609789,The Truman Show,Sushi
644623,None,Sushi
626792,Kung fu panda,Sushi
714863,none,Sushi
602805,The Wolverine,Sushi
602526,Spirited Away,Sushi
497421,Jiro Dreams of Sushi,Sushi
389328,Kill Bill,Sushi
289931,Finding Nemo,Sushi
620148,Your Name,Sushi
387155,Once Upon a Time... in Hollywood,Sushi
516975,The Lord of the Rings: The Fellowship of the Ring,Sushi
630825,Transformer,Sushi
614043,Cars,Sushi
521125,Shark Tale,Sushi
627780,Bullet Train ,Sushi
492744,Tokyo Story,Sushi
618747,Jiro Dreams of Sushi,Sushi
607815,Your Name,Sushi
601609,Harry Potter,Sushi
602657,Jiro Dreams of Sushi,Sushi
616449,Isle of Dogs,Sushi
501893,"Little Forest, a Japanese film",Sushi
507448,Jiro Dreams of Sushi,Sushi
606556,Doraemon,Sushi
724326,"""Naruto""",Sushi
616945,rush hour,Sushi
630962,Jaws,Sushi
715814,I might came up with some Japan related movies(like Jiro Dreams of Sushi - this is in fact a documentary)/cartoons(like 一休さん)/TV series (like The Solitary Gourmet).,Sushi
502799,Rush hour,Sushi
605278,The End of Evangelion,Sushi
388888,Midnight Diner,Sushi
519548,Spirited Away,Sushi
405521,anime,Sushi
607410,Crazy Rich Asians ,Sushi
715795,The Perfect Storm,Sushi
625326,Anime,Sushi
627220,The Karate Kid,Sushi
634964,John Wick,Sushi
722500,Jiro Dreams of Sushi,Sushi
602824,The Pacific,Sushi
618355,weathering with you,Sushi
611097,Kill Bill,Sushi
634328,Findig Nemo,Sushi
607160,kill bill,Sushi
728522,Eternal Sunshine of the Spotless Mind,Sushi
718570,None,Sushi
714598,Cars 2,Sushi
601950,Jiro dreams of Sushi,Sushi
612478,My neighbour Totoro,Sushi
501416,N/A (I don't watch a lot of movies),Sushi
629710,Johnny English,Sushi
502610,tokyo drift,Sushi
603476,Oldboy,Sushi
600957,The Proposal,Sushi
713423,Spirited Away,Sushi
722431,Rurouni Kenshin.,Sushi
633234,Oldboy,Sushi
148179,None,Sushi
715845,Spirited Away,Sushi
632153,Nemo,Sushi
606552,Gone Girl,Sushi
738409,My Hero Academia,Sushi
612096,Food Wars!,Sushi
743537,Your Name (2016),Sushi
632896,I think of the movie Your Name.,Sushi
605207,Bullet Train,Sushi
617542,Isle of Dogs,Sushi
719554,"深夜食堂

ナミヤ雑貨店の奇蹟",Sushi
627427,Liz and the Blue Bird,Sushi
411315,spirited away,Sushi
631507,Spirited Away (2001),Sushi
627798,Frozen,Sushi
712093,Seven Samurai,Sushi
627488,Barbie,Sushi
626493,Cars 2,Sushi
601363,The boy and the heron,Sushi
712898,Howl's Moving Castle,Sushi
603398,Suits,Sushi
631012,Kung Fu Panda,Sushi
601848,John Wick 4,Sushi
612131,The Wolverine,Sushi
408630,Finding Nemo,Sushi
632091,no movie,Sushi
601122,The Wolverine,Sushi
602871,Jiro Dreams of Sushi,Sushi
520828,Isle of Dogs,Sushi
514199,None,Sushi
389697,Ghibli movies,Sushi
714430,spiderman,Sushi
612567,Your Name,Sushi
744468,Bladerunner,Sushi
502722,A Silent Voice (2016),Sushi
519681,Everything Everywhere All At Once,Sushi
631125,Monsters Inc.,Sushi
606119,Isle of Dogs,Sushi
627252,Monsters Inc.,Sushi
616568,jiro dreams of sushi,Sushi
603838,Jiro Dreams of Sush,Sushi
719735,Jiro Dreams of Sushi,Sushi
608062,Parasite,Sushi
608704,Finding Nemo,Sushi
520383,I don't think of a movie when thinking of this food item,Sushi
603793,doraemon,Sushi
603933,Jiro Dreams of Sushi,Sushi
605519,Finding Nemo,Sushi
524803,Tokyo Story (1953),Sushi
629712,Parasite,Sushi
627505,Inception,Sushi
526131,"I would associate it with movie series like ""Pleasant Goat and Big Big Wolf"", as that was one of the childhood shows I watched, from the time when we could sometimes go and eat out as a family.",Sushi
607065,The Karate Kid,Sushi
500077,none,Sushi
633350,Your Name,Sushi
601945,Wolf of Wall Street,Sushi
629878,Spirited Away (or any Japanese movie in general),Sushi
712766,Wolverine,Sushi
603664,Jiro Dreams of Sushi,Sushi
840827,Romance movie,Sushi
604897,Food wars,Sushi
525422,None,Sushi
602560,Some Japanese movie or some action movie. ,Sushi
738379,Jiro Dreams of Sushi,Sushi
622023,Wolf of Wallstreet,Sushi
604770,Godzilla,Sushi
608318,Johnny English,Sushi
626757,Fast and Furious: Tokyo Drift,Sushi
745297,Karate Kid,Sushi
627599,Scary Movie 4 (2006),Sushi
520037,Finding Nemo,Sushi
632189,Jiro dreams of sushi,Sushi
627636,Monster house,Sushi
295428,the big short,Sushi
228777,kill bill ,Sushi
609278,The Little Mermaid,Sushi
614089,Lost in Translation,Sushi
607517,Recep Ivedik 2,Sushi
714607,Pirates of the Carribeans,Sushi
716650,The movie that comes to mind for this food item is the Big Short. There is one scene that is very vivid and eye-opening conversations when it comes to the fault of hedge funds during the 2008 crisis that was discussed over this food item.,Sushi
497695,Crazy Rich Asians,Sushi
496858,"I watched the harry potter series with my friends while eating sushi, so I associate sushi with harry potter.",Sushi
608688,"Jiro Dreams of Sushi, East Side Sushi, Finding Nemo",Sushi
604386,Jiro Dreams of Sushi,Sushi
628559,Spirited Away,Sushi
715152,"Any japanese movie, and animes ",Sushi
604110,"Monsters, Inc.",Sushi
629010,Kill Bill,Sushi
605254,cloudy with a chance of meatballs,Sushi
628990,Jiro Dreams of Sushi,Sushi
625295,Spirited away,Sushi
603415,Spirited Away,Sushi
635533,Jiro Dreams of Sushi,Sushi
630389,Jiro Dreams of Sushi,Sushi
714901,Bullet Train,Sushi
629792,monsters inc,Sushi
629025,squid game,Sushi
524441,Finding Nemo,Sushi
389109,Monster Inc,Sushi
631216,na,Sushi
738875,Crazy Rich Asians,Sushi
634669,Jiro Dreams of Sushi,Sushi
409940,spirited away,Sushi
399605,spirit away,Sushi
721831,John Wick,Sushi
835223,-,Sushi
712938,Spirited Away,Sushi
395712,Jiro Dreams of sushi,Sushi
603388,jiro dreams of sushi,Sushi
617774,Gran Turismo,Sushi
289440, Lost in Translation,Sushi
714503,short movie because I eat it fast,Sushi
714893,The breakfast club,Sushi
601094,Spirited Away,Sushi
618150,None,Sushi
607944,Ponyo,Sushi
629844,Samurai Jack,Sushi
626482,Kung Fu Panda,Sushi
609257,Mean Girls,Sushi
717921,Girl's Trip,Sushi
181851,None,Sushi
629041,My Neighbor Totoro,Sushi
604062,Anime I guess,Sushi
716749,no,Sushi
633143,Passengers(2016),Sushi
743828,Finding Nemo,Sushi
520861,Madagascar,Sushi
517019,Spirited Away,Sushi
626779,i dont know,Sushi
611716,Bladerunner,Sushi
193195,Kill Bill,Sushi
627530,Koe No Katachi,Sushi
626479,Isle of Dogs,Sushi
624540,talented,Sushi
625315,The Breakfast Club,Sushi
601941,Crayon Shin-chan the Movie,Sushi
723968,Ratatouille,Sushi
715806,Dreams of Sushi,Sushi
720045,Finding Nemo,Sushi
713585,Idk,Sushi
611188,Spirited Away,Sushi
606726,Crazy Rich Asians,Sushi
629142,I think of the movie Jiro Dreams of Sushi.,Sushi
634825,Your name,Sushi
613409,Memoirs of A Geisha,Sushi
633224,Kung Fu Panda,Sushi
738850,Masterchef,Sushi
500470,Nothing comes to mind,Sushi
13183,Memoirs of a Geisha,Sushi
627169,The Wolverine,Sushi
229041,kung fu panda,Sushi
496344,Bullet Train,Sushi
409723,The breakfast club,Sushi
630949,The Godfather,Sushi
413014,"A Japanese anime movie, such as Spirited Away",Sushi
310438,John Wick 3,Sushi
627430,Ponyo,Sushi
526510,None,Sushi
390823,Finding Nemo,Sushi
717116,Lost in Translation,Sushi
712143,monster,Sushi
612538,Cars 2,Sushi
627539,The Last Samurai,Sushi
603812,Kill Bill,Sushi
740568,Cars,Sushi
712702,Spirited Away,Sushi
519638,Dune,Sushi
627800,Suzume,Sushi
406863,Kung Fu Panda,Sushi
726962,Detective Conan,Sushi
628077,Big Hero 6,Sushi
601693,Shark Tale,Sushi
517096,Snowpiercer,Sushi
606821,Yakuza,Sushi
455047,None,Sushi
625576,Finding Nemo,Sushi
747734,The Godfather,Pizza
517064,Teenage Mutant Ninja Turtles.,Pizza
387330,Wizards of Waverly Place Movie,Pizza
746750,For some reason home alone is the first thing that came to mind,Pizza
629285,home alone,Pizza
743488,Spider-Man 2,Pizza
523710,Home Alone,Pizza
635179,Avengers End Game,Pizza
313562,fast and furious ,Pizza
712670,I think about the movie Ratatouille as it took place in Italy and Pizza reminds me of Italy.,Pizza
635627,Rush Hour,Pizza
524485,Teenage Mutant Ninja Turtles,Pizza
632320,Teenage Mutant Ninja Turtles,Pizza
633520,Cloudy with a chance of meatballs ,Pizza
606905,ratatouille,Pizza
393424,Spider-Man 2,Pizza
618333,Grown ups,Pizza
628558,Teenage Mutant Ninja Turtles. The turtles are famous for their love of pizza.,Pizza
613776,Teenage Mutant Ninja Turtles,Pizza
317214,I don't think of any movie. Pizza pairs well with any movie.,Pizza
628093,Five Nights at Freddy's.,Pizza
411781,Spider-Man 2,Pizza
525567,Ratatouille,Pizza
634455,The teenage mutant ninja turtles.,Pizza
498848,Eat Pray Love,Pizza
638838,"Rise of the Teenage Mutant Ninja Turtles: The Movie (2022)
----------------------------------------------------------",Pizza
411253,teenage mutant ninja turtles,Pizza
410165,avengers,Pizza
608554,Star Wars,Pizza
602394,Home Alone ,Pizza
743623,Spider-Man: Across the Spider-Verse,Pizza
87783,Home Alone,Pizza
632431,Ratatouille ,Pizza
744091,Teenage Mutant Ninja Turtles,Pizza
519570,Saving private ryan,Pizza
744484,Home Alone,Pizza
508149,Ratatouille,Pizza
524992, the avengers ,Pizza
413570,Spider-Man 2002 starring Tobey Maguire,Pizza
306207,Back to the Future,Pizza
634468,Back to the future,Pizza
522205,Spiderman,Pizza
5978,Mr deeds,Pizza
742611,BBC Food channel's movies and documentaries. ,Pizza
631198,Green Book,Pizza
606150,Little Italy.,Pizza
313577,Spider-man,Pizza
629700,Cloudy with a chance of meatballs,Pizza
630928,Cloudy with a Chance of Meatballs,Pizza
607286,Murder Mystery.,Pizza
607609,Interstellar,Pizza
522890,Home Alone. Or action movies,Pizza
630227,The Super Mario Bros. Movie,Pizza
603607,Mystic Pizza,Pizza
617029,Scott Pilgrim vs. the World,Pizza
617462,Spider-Man 2,Pizza
633001,Ratatouille ,Pizza
634690,home alone 2,Pizza
630198,the ritual,Pizza
520507,None,Pizza
635065,Breakaway,Pizza
613209,Homealone,Pizza
605452,Uncle Grandpa,Pizza
24137,comedy,Pizza
518809,none,Pizza
634646,Harry Potter,Pizza
508156,"eat, pray, love",Pizza
632909,spiderman,Pizza
414734,no movie that I can think,Pizza
630250,ratatouille.,Pizza
411810,Toy Story,Pizza
214145,shrek,Pizza
628986,Captain America,Pizza
211158,Home Alone,Pizza
507382,Spiderman 2,Pizza
522877,Pirates of the Caribbean ,Pizza
635024,"Monsters, Inc.",Pizza
602845,"I think of the movie named ""Chef"".",Pizza
519822,The Boy and the Herron,Pizza
600849,Superbad,Pizza
605148,Home Alone,Pizza
631600,Teenage Mutant Ninja Turtles vs Batman. The TMNT love pizza and they eat it with batman at the end of the movie.,Pizza
