id,Q6: What drink would you pair with this food item?,Label
389109,"Ayran Yogurt (actually I don't drink this after having tried it twice, but if we're talking about what I'd canonically pair it with). If we're talking about what I'd actually drink and pair it with, then just water",Shawarma
631216,lemonade,Shawarma
738875,Water,Shawarma
634669,Wine,Shawarma
409940,diet coke,Shawarma
399605,coke,Shawarma
721831,Fanta,Shawarma
835223,Coke,Shawarma
712938,Fanta,Shawarma
395712,"Pop, Coca-Cola, 7up, crush ",Shawarma
603388,Coke,Shawarma
617774,Water,Shawarma
289440,coke,Shawarma
714503,cola,Shawarma
714893,Coke,Shawarma
601094,ice tea,Shawarma
618150,Diet Coke,Shawarma
607944,Juice,Shawarma
629844,Orange juice,Shawarma
626482,Sprite,Shawarma
609257,Water,Shawarma
717921,Sparkling water,Shawarma
181851,water,Shawarma
629041,Iced tea,Shawarma
604062,Coke/Coke Zero,Shawarma
716749,water or lemon water,Shawarma
633143,Soft drinks such as Coca-Cola,Shawarma
743828,Mango Juice,Shawarma
520861,Soda,Shawarma
517019,pop,Shawarma
626779,water,Shawarma
611716,coke,Shawarma
193195,Soda,Shawarma
627530,Ginger Ale,Shawarma
626479,Some type of soda,Shawarma
624540,crush/cola,Shawarma
625315,Soft drink,Shawarma
601941,cococola,Shawarma
723968,Nestea,Shawarma
715806,sprite,Shawarma
720045,Water,Shawarma
713585,Soda,Shawarma
611188,Water,Shawarma
606726,Ayran,Shawarma
629142,I would pair pop with this food item.,Shawarma
634825,Soda,Shawarma
613409,Coke-Cola,Shawarma
633224,Water,Shawarma
738850,Water,Shawarma
500470,Soda,Shawarma
13183,diet coke,Shawarma
627169,Sprite,Shawarma
229041,pepsi,Shawarma
496344,Jarritos,Shawarma
409723,Lassi,Shawarma
630949,Soda,Shawarma
413014,A fruit juice such as orange juice,Shawarma
310438,Water,Shawarma
627430,Water,Shawarma
526510,water,Shawarma
390823,Nestea,Shawarma
717116,carbonated drinks,Shawarma
712143,cola,Shawarma
612538,water,Shawarma
627539,Sprite,Shawarma
603812,Root Beer,Shawarma
740568,Water,Shawarma
712702,pineapple juice,Shawarma
519638,Water,Shawarma
627800,"Water, Soda",Shawarma
406863,Coke,Shawarma
726962,Water,Shawarma
628077,Water,Shawarma
601693,Water,Shawarma
517096,Nestea,Shawarma
606821,Water,Shawarma
455047,"juice, water or coke",Shawarma
625576,Water,Shawarma
716549,Miso soup,Sushi
715742,Miso Soup,Sushi
727333,cola,Sushi
606874,Water,Sushi
505318,Water,Sushi
605771,None,Sushi
606929,coke,Sushi
609789,ice tea,Sushi
644623,None,Sushi
626792,tea,Sushi
714863,tea,Sushi
602805,Coca Cola,Sushi
602526,soju,Sushi
497421,Oolong tea,Sushi
389328,Sake,Sushi
289931,green tea,Sushi
620148,Tea,Sushi
387155,water,Sushi
516975,Iced tea,Sushi
630825,Soup,Sushi
614043,Green tea,Sushi
521125,Root beer,Sushi
627780,Sake,Sushi
492744,Lemon water,Sushi
618747,"Sake, beer",Sushi
607815,Sake,Sushi
601609,Diet Coke,Sushi
602657,miso soup,Sushi
616449,Green tea,Sushi
501893,tea,Sushi
507448,Calpis,Sushi
606556,Miso Soup,Sushi
724326,Tea,Sushi
616945,water,Sushi
630962,Water,Sushi
715814,"I would say some Japanese culture related drinks like their wines (e.g. beer, rice wine, etc.) and tea (green tea more if specifically).",Sushi
502799,Water,Sushi
605278,Tea,Sushi
388888,Barley tea,Sushi
519548,Sake,Sushi
405521,beer,Sushi
607410,Water,Sushi
715795,Iced fruit punch juice,Sushi
625326,Soup,Sushi
627220,Water,Sushi
634964,Water,Sushi
722500,apple juice,Sushi
602824,tea,Sushi
618355,hot tea,Sushi
611097,coke,Sushi
634328,Green Tea,Sushi
607160,sake,Sushi
728522,Hot Tea,Sushi
718570,juice/wine,Sushi
714598,Hot tea,Sushi
601950,tea,Sushi
612478,Beer,Sushi
501416,"Tea, uncarbonated soft drink, alcoholic beverage",Sushi
629710,Water,Sushi
502610,Water,Sushi
603476,water,Sushi
600957,Water,Sushi
713423,tea,Sushi
722431,Sake or green tea.,Sushi
633234,Water,Sushi
148179,Tea,Sushi
715845,Green tea,Sushi
632153,Fish sauce,Sushi
606552,Water,Sushi
738409,milk,Sushi
612096,Green tea,Sushi
743537,Cold water,Sushi
632896,I think Sake pair with this food item. ,Sushi
605207,Water,Sushi
617542,Miso Soup,Sushi
719554,Miso soup,Sushi
627427,Green tea,Sushi
411315,tea,Sushi
631507,Water,Sushi
627798,Tea,Sushi
712093,Water,Sushi
627488,Water,Sushi
626493,Water,Sushi
601363,A beer,Sushi
712898,green tea,Sushi
603398,"I wouldn't pair a drink with sushi

Water probably",Sushi
631012,Water,Sushi
601848,Green tea,Sushi
612131,Green tea / ocha,Sushi
408630,tea,Sushi
632091,tea,Sushi
601122,Sake,Sushi
602871,Miso soup,Sushi
520828,Tea,Sushi
514199,Tea,Sushi
389697,"Green tea

Water",Sushi
714430,orange juice,Sushi
612567,Matcha,Sushi
744468,Water,Sushi
502722,Water,Sushi
519681,Water,Sushi
631125,None,Sushi
606119,Tea,Sushi
627252,Water,Sushi
616568,sake,Sushi
603838,Green Tea,Sushi
719735,Hot or Iced Tea,Sushi
608062,Water ,Sushi
608704,Wine,Sushi
520383,Sake!,Sushi
603793,ocha,Sushi
603933,juice,Sushi
605519,Green Tea,Sushi
524803,Green tea,Sushi
629712,Water,Sushi
627505,Water,Sushi
526131,"I would pair this item with water. It is usually not dry or dehydrating so I don't usually drink much with it, but water is more than enough.",Sushi
607065,Wine,Sushi
500077,water,Sushi
633350,Green tea ,Sushi
601945,Wine,Sushi
629878,Tea,Sushi
712766,Tea,Sushi
603664,Calpis,Sushi
840827,Water,Sushi
604897,Tea,Sushi
525422,Water,Sushi
602560,Maybe some cocktail like Gin Martini. ,Sushi
738379,Green tea or water,Sushi
622023,Coke Zero,Sushi
604770,no drink,Sushi
608318,Sake,Sushi
626757,Tea,Sushi
745297,Water,Sushi
627599,Water,Sushi
520037,Beer,Sushi
632189,Water,Sushi
627636,Water,Sushi
295428,sake,Sushi
228777,water,Sushi
609278,Miso soup,Sushi
614089,Water,Sushi
607517,Sake,Sushi
714607,Matcha,Sushi
716650,I would pair water with lemon with this food item since it is usually eaten at a sit down.,Sushi
497695,Water,Sushi
496858,I would eat sushi with some bubble tea!,Sushi
608688,Tea,Sushi
604386,tea,Sushi
628559,Green tea,Sushi
715152,Bubble Tea,Sushi
604110,Juice,Sushi
629010,Lemon Water,Sushi
605254,hot green tea,Sushi
628990,Soju,Sushi
625295,Water,Sushi
603415,Tea,Sushi
635533,rice wine,Sushi
630389,Tea,Sushi
714901,Water,Sushi
629792,sake,Sushi
629025,water,Sushi
524441,Boba,Sushi
389109,Jasmine or roasted green tea,Sushi
631216,water,Sushi
738875,Milk tea,Sushi
634669,Sake,Sushi
409940,miso soup,Sushi
399605,barley tea,Sushi
721831,Sake,Sushi
835223,Green tea,Sushi
712938,Calpis,Sushi
395712,No drink.,Sushi
603388,Oolong tea,Sushi
617774,Water,Sushi
289440,tea,Sushi
714503,soybean milk,Sushi
714893,Water,Sushi
601094,hot tea,Sushi
618150,"water, iced-tea",Sushi
607944,Tea,Sushi
629844,Orange juice,Sushi
626482,None,Sushi
609257,Water,Sushi
717921,Water,Sushi
181851,water,Sushi
629041,tea,Sushi
604062,Green tea!,Sushi
716749,Miso Soup， tea,Sushi
633143,Water,Sushi
743828,Water,Sushi
520861,Tea,Sushi
517019,Beer,Sushi
626779,none,Sushi
611716,miso soup,Sushi
193195,Water,Sushi
627530,Tea,Sushi
626479,Just water honestly,Sushi
624540,korea drink/japanese drink,Sushi
625315,Tea,Sushi
601941,Oolong Tea,Sushi
723968,Nestea,Sushi
715806,Water,Sushi
720045,Water,Sushi
713585,Sake,Sushi
611188,Tea,Sushi
606726,Juice,Sushi
629142,I would pair tea or juice with this food item.,Sushi
634825,Tea,Sushi
613409,Water,Sushi
633224,Water,Sushi
738850,Tea,Sushi
500470,Water,Sushi
13183,Water,Sushi
627169,champagne,Sushi
229041,tea,Sushi
496344,Oolong Tea,Sushi
409723,Sake,Sushi
630949,Tea,Sushi
413014,Sake (Japanese rice wine),Sushi
310438,Sake,Sushi
627430,Tea,Sushi
526510,water,Sushi
390823,Tea,Sushi
717116,"wine, tea, sparkling water",Sushi
712143,Sake,Sushi
612538,Tea,Sushi
627539,Tea,Sushi
603812,Sake,Sushi
740568,Water,Sushi
712702,lemon tea,Sushi
519638,Water,Sushi
627800,Tea,Sushi
406863,Bubble Tea,Sushi
726962,coke,Sushi
628077,Water,Sushi
601693,Water,Sushi
517096,Sake,Sushi
606821,Sake,Sushi
455047,"water, tea",Sushi
625576,Water,Sushi
747734,Soda ,Pizza
517064,Root-beer.,Pizza
387330,7up,Pizza
746750,Pepsi,Pizza
629285,Coke,Pizza
743488,soda,Pizza
523710,Coke,Pizza
635179,Sprite,Pizza
313562,crush ,Pizza
712670,I would pair it with a bottled Coca-Cola for the authentic western junk food combo.,Pizza
635627,Coke,Pizza
524485,Coke,Pizza
632320,coke,Pizza
633520,"Some kind of fizzy drink, like Crush. ",Pizza
606905,pineapple fanta,Pizza
393424,Coke,Pizza
618333,Coca cola,Pizza
628558,tap water or sprite,Pizza
613776,Diet Coke,Pizza
317214,Any drink works well.,Pizza
628093,Nestea.,Pizza
411781,Coke Zero,Pizza
525567,Water,Pizza
634455,Coke or Pepsi.,Pizza
498848,Beer,Pizza
638838,Pepsi,Pizza
411253,nestea,Pizza
410165,apple juice,Pizza
608554,Pop,Pizza
602394,Pop,Pizza
743623,"Pop, such as Coke or Pepsi",Pizza
87783,Coca-Cola or Beer,Pizza
632431,Coca Cola,Pizza
744091,Water,Pizza
519570,Soda,Pizza
744484,Coke,Pizza
508149,Water,Pizza
524992,coca cola,Pizza
413570,Coca-Cola,Pizza
306207,coke,Pizza
634468,Soda/Pop,Pizza
522205,Sprite,Pizza
5978,Water,Pizza
742611,"Pops, Orange Juice, Water.",Pizza
631198,water,Pizza
606150,Coca Cola.,Pizza
313577,coke,Pizza
629700,Water,Pizza
630928,apple juice,Pizza
607286,Sprite.,Pizza
607609,Soft Drink,Pizza
522890,"Sprite or any soft drinks as such. Coke, Pepsi, etc.",Pizza
630227,Coca Cola,Pizza
603607,Coke,Pizza
617029,coke,Pizza
617462,Coke,Pizza
633001,Iced tea,Pizza
634690,pepsi,Pizza
630198,coca-cola,Pizza
520507,Ginger ale,Pizza
635065,Soda,Pizza
613209,Pepsi/Coke,Pizza
605452,Soda,Pizza
24137,coke,Pizza
518809,fanta,Pizza
634646,Coca Cola,Pizza
508156,Coca-Cola Zero,Pizza
632909,canada dry,Pizza
414734,obviously cola,Pizza
630250,Sprite,Pizza
411810,Pop with ice,Pizza
214145,gatorade,Pizza
628986,Coke,Pizza
211158,Soda,Pizza
507382,Coca Cola,Pizza
522877,ginger ale ,Pizza
635024,Soda.,Pizza
602845,I like Coca Cola and would pair it with this food item.,Pizza
519822,Coca-cola,Pizza
600849,Ginger ale,Pizza
605148,"Any soda: Pepsi, Coca Cola, Crush, Canada Dry",Pizza
631600,Sprite. Or perhaps any pop drink would go well with pizza. ,Pizza
716142,soda,Pizza
525853,Coca-Cola,Pizza
835124,Coke,Pizza
634764,Coke,Pizza
630117,Pop drink,Pizza
631531,pepsi/water,Pizza
714062,Coke,Pizza
629156,Soda,Pizza
498563,Water,Pizza
625319,Soda or water.,Pizza
723931,coke,Pizza
526497,Coke ,Pizza
630999,Coke,Pizza
97339,Coke Zero,Pizza
631909,Coke,Pizza
625349,sprite,Pizza
632299,Soda,Pizza
616634,Pepsi,Pizza
616836,Diet Coke,Pizza
609116,Soda,Pizza
626789,diet coke,Pizza
504599,Diet Pepsi,Pizza
632684,Coca Cola,Pizza
522967,cocacola,Pizza
632893,Pepsi,Pizza
632156,I would pair coke with pizza.,Pizza
603582,Coke with ice,Pizza
626754,Coca Cola,Pizza
298481,Coke Zero,Pizza
631583,Coke,Pizza
718026,pepsi,Pizza
616713,Water,Pizza
602533,Coke,Pizza
522345,Soda,Pizza
629758,diet coke,Pizza
631496,Coke,Pizza
491374,Coca-Cola,Pizza
632051,Coke,Pizza
409930,water,Pizza
632975,Coke,Pizza
407221,Pepsi,Pizza
204508,sprite,Pizza
618700,soda,Pizza
627792,Pepsi.,Pizza
712054,Coke,Pizza
631881,"Soda (i.e. Coke, Pepsi, etc.)",Pizza
716188,Coke,Pizza
628744,Coca Cola,Pizza
604132,Soda,Pizza
629807,Water,Pizza
741428,Pepsi,Pizza
633024,water,Pizza
631221,A soda,Pizza
601983,Coke,Pizza
603007,Iced Tea,Pizza
601217,Diet coke,Pizza
629221,Coke,Pizza
634705,Orange Crush Soda,Pizza
630070,coke,Pizza
630006,Coke,Pizza
629072,Soda,Pizza
630044,Diet pepsi.,Pizza
626026,sprite or juice.,Pizza
520303,Coke,Pizza
630972,Soda,Pizza
630948,soda,Pizza
626778,Coke Zero,Pizza
631181,coke,Pizza
633541,Nestea,Pizza
630098,Coke.,Pizza
629959,Water,Pizza
633097,Cola,Pizza
605290,Sprindrift,Pizza
629869,Diet coke,Pizza
632868,"Probably a fizzy drink, ideally coca-cola. ",Pizza
209691,I would pair with this food item with iced tea.,Pizza
600915,Water,Pizza
525420,Coke,Pizza
414710,Pepsi,Pizza
629985,pepsi,Pizza
523128,Sprite,Pizza
727410,Water,Pizza
616457,coke,Pizza
206487,Any soft drink,Pizza
68949,A soda,Pizza
419835,Coke,Pizza
745732,coca cola. ,Pizza
543739,Coke,Pizza
410380,Soda,Pizza
385307,coke ,Pizza
634566,Martini Cocktail ,Pizza
625818,Coca-cola,Pizza
631164,Water,Pizza
603130,Pepsi,Pizza
229211,Gingerale (Canada Dry),Pizza
626849,Pop/Soda,Pizza
634650,Coke,Pizza
632125,Sprite,Pizza
626812,ice tea,Pizza
631109,"Soda, personally Sprite. ",Pizza
716766,coca-cola,Pizza
494103,Coca cola,Pizza
628102,Water,Pizza
634683,Coke,Pizza
517774,sprite,Pizza
408898,Water,Pizza
603189,Diet Coke,Pizza
606857,Coke,Pizza
523080,soda,Pizza
631014,Fanta,Pizza
503957,Coke,Pizza
524890,Sprite,Pizza
717411,soft drink,Pizza
525311,Soda,Pizza
630967,Red Wine or Coca Cola,Pizza
604969,Soda,Pizza
524480,Mountain Dew,Pizza
630121,soft drinks,Pizza
629615,Sprite,Pizza
634977,Coca Cola,Pizza
630823,coke,Pizza
632228,Coke,Pizza
504548,Coca-Cola,Pizza
522477,Coke.,Pizza
523461,Soda,Pizza
312640,Coke a cola,Pizza
854745,Soda,Pizza
711854,Coke,Pizza
739254,Sprite,Pizza
621555,Ice tea???? Or fountain drinks in general. I like Dr. Pepper,Pizza
602482,Soda,Pizza
630416,"Water, because water is good for you",Pizza
505458,Soft drink,Pizza
296589,"Pop, soda, alcohol, or water",Pizza
604826,I will pair this food item with sparkling water.,Pizza
387820,Diet coke,Pizza
603612,Water,Pizza
712252,Coke,Pizza
742226,Soda,Pizza
712771,Orange juice,Pizza
746466,Ginger Ale,Pizza
601737,coke,Pizza
631902,Soda,Pizza
312320,i like Coke Cola the best with this pizza,Pizza
519986,Coke,Pizza
626771,"I would pair this food item with a soda of choice. For me, that would be Diet Coke. I am also a fan of pairing this food item with apple juice.",Pizza
407257,"Soda

Pop

Coke",Pizza
626883,Water,Pizza
727339,Sprite,Pizza
631448,"Coke/Diet Pepsi, although I would literally have to eat healthy for the next straight 2 weeks.",Pizza
634885,Water,Pizza
619932,Soda,Pizza
601986,Milkshake,Pizza
631141,Pepsi,Pizza
631069,Soft drink (coke/pepsi),Pizza
634508,Coke,Pizza
206744,Coke,Pizza
498213,"soda for sure, personally Diet Coke.",Pizza
627496,Coke,Pizza
629659,Kraken Spiced Rum,Pizza
630190,"Iced tea, or soda.",Pizza
401586,diet coke,Pizza
629263,Diet Pepsi,Pizza
631678,Coke,Pizza
411681,Pop,Pizza
518733,coke,Pizza
630378,Pepsi,Pizza
631142,Ginger Ale,Pizza
519976,Water,Pizza
604991,Ginger Ale,Pizza
522483,Water or juice or Ramune soda,Pizza
629723,Diet Coke,Pizza
387522,Coca Cola,Pizza
613484,Coke,Pizza
