id,Q2: How many ingredients would you expect this food item to contain?,Label
604770,8,Pizza
608318,7-Apr,Pizza
626757,5,Pizza
745297,5,Pizza
627599,6,Pizza
520037,4,Pizza
632189,4,Pizza
627636,Minimum 3,Pizza
295428,"cheese, wheat flour, some types of meat, herbs, some type of sauces.",Pizza
228777,5,Pizza
609278,6,Pizza
614089,4,Pizza
607517,7,Pizza
714607,6,Pizza
716650,"Many Ingredients. For each of Dough, Sauce, Toppings, there are many ingredients required. If I had to estimate, I would say around 5 for dough, 8 for sauce, and just 2 for toppings. Altogether, that would be around 15 ingredients total.",Pizza
497695,4,Pizza
496858,"Typically, the simplest pizza would contain dough, water, yeast, salt, sugar, tomato sauce, and then cheese - around 7 ingredients. Sometimes, we might like to make more complex pizzas with different flavours, like adding more types of cheeses, or adding various toppings like veggies and meats, which would bump up the ingredient count. ",Pizza
608688,3,Pizza
604386,6,Pizza
628559,"About 5

 

Minimum 3 for dough, tomato sauce, and cheese, to at most 7 for toppings.",Pizza
715152,7,Pizza
604110,4,Pizza
629010,6,Pizza
605254,5,Pizza
628990,5,Pizza
625295,6,Pizza
603415,8-Apr,Pizza
635533,6,Pizza
630389,3,Pizza
714901,I would expect four to ten.,Pizza
629792,"7: flour, salt, yeast, water, oil, sauce, cheese",Pizza
629025,4,Pizza
524441,6,Pizza
389109,8,Pizza
631216,5,Pizza
738875,3,Pizza
634669,4,Pizza
409940,6,Pizza
399605,5,Pizza
721831,8,Pizza
835223,5,Pizza
712938,5,Pizza
395712,"5 ingredients,  bread, cheese, sauce, meat, veggies",Pizza
603388,about 7,Pizza
617774,3,Pizza
289440,5,Pizza
714503,3 to 4,Pizza
714893,5,Pizza
601094,"7 (flour, water, oil, yeast, sauce, cheese, topping)",Pizza
618150,"5 (pizza base, sauce, cheese, topping, and oregano)",Pizza
607944,5,Pizza
629844,4,Pizza
626482,5,Pizza
609257,5,Pizza
717921,8,Pizza
181851,5,Pizza
629041,3,Pizza
604062,Four to five. Also depends on the different types of pizza.,Pizza
716749,4 or more,Pizza
633143,"This food item should contain anywhere from 5-10 ingredients depending on the amount of topping you want. The key ingredients should be salt, pepper, cheese, tomato sauce, and dough (5 ingredients). ",Pizza
743828,10,Pizza
520861,4,Pizza
517019,5,Pizza
626779,"Dough (water, flour, yeast), cheese, tomato sauce",Pizza
611716,3,Pizza
193195,5,Pizza
627530,7,Pizza
626479,3 or more depending on what toppings you want,Pizza
624540,"3

sansauge, 

corn, 

sauce, 

 ",Pizza
625315,8-Mar,Pizza
601941,4,Pizza
723968,"21 ingredients

 ",Pizza
715806,10,Pizza
720045,8,Pizza
713585,6,Pizza
611188,4,Pizza
606726,10,Pizza
629142,"I would expect this food item to contain at least 5 ingredients, but it can be more based on toppings you add.",Pizza
634825,7,Pizza
613409,"flour, yeast, olive oil, salt, mozzarella cheese, and tomato sauce. So total of 8",Pizza
633224,4,Pizza
738850,6,Pizza
500470,At least 6,Pizza
13183,6,Pizza
627169,15,Pizza
229041,5,Pizza
496344,8 ingredients,Pizza
409723,11,Pizza
630949,7,Pizza
413014,"Around 6-8, not including spices/seasoning",Pizza
310438,4,Pizza
627430,4,Pizza
526510,4,Pizza
390823,4,Pizza
717116,8-Apr,Pizza
712143,6,Pizza
612538,6,Pizza
627539,4,Pizza
603812,5,Pizza
740568,10,Pizza
712702,7,Pizza
519638,"7 - Flour, Water, Yeast, Olive Oil, Tomato Sauce, Cheese, Basil",Pizza
627800,4-Mar,Pizza
406863,5,Pizza
726962,10,Pizza
628077,10,Pizza
601693,6,Pizza
517096,3 to 4,Pizza
606821,5,Pizza
455047,4,Pizza
625576,10,Pizza
716549,8,Shawarma
715742,"Chicken, vege",Shawarma
727333,3,Shawarma
606874,10,Shawarma
505318,10-May,Shawarma
605771,5,Shawarma
606929,about three ,Shawarma
609789,4,Shawarma
644623,5,Shawarma
626792,13,Shawarma
714863,10,Shawarma
602805,10,Shawarma
602526,9,Shawarma
497421,"At least 3, such as pita, meat, vegetables.",Shawarma
389328,5,Shawarma
289931,"6: Wrap, meat, lettuce, tomatoes, sauces, cheese",Shawarma
620148,5,Shawarma
387155,10,Shawarma
516975,12,Shawarma
630825,4,Shawarma
614043,5-8 (6 in general),Shawarma
521125,8,Shawarma
627780,5,Shawarma
492744,8,Shawarma
618747,"Flatbreads, spice, chicken, beef, sauce, oil, lettuce",Shawarma
607815,8,Shawarma
601609,8,Shawarma
602657,10,Shawarma
616449,Four,Shawarma
501893,"5: Flour, meat, pickles, fries and sour cream",Shawarma
507448,potato,Shawarma
606556,3,Shawarma
724326,Around 6-8,Shawarma
616945,5,Shawarma
630962,5,Shawarma
715814,"5 ingredients, usually chicken/beef, wrap bread, lettuce, salad dressing, pickled vegetables, and sometimes onions if necessary (then 6).",Shawarma
502799,6,Shawarma
605278,"4 (meat, wrap, veggies, sauce)",Shawarma
388888,10,Shawarma
519548,8,Shawarma
405521,3,Shawarma
607410,5,Shawarma
715795,6,Shawarma
625326,6,Shawarma
627220,6 to 10,Shawarma
634964,3,Shawarma
722500,4,Shawarma
602824,5,Shawarma
618355,8,Shawarma
611097,6,Shawarma
634328,10,Shawarma
607160,5,Shawarma
728522,10,Shawarma
718570,10,Shawarma
714598,7,Shawarma
601950,4,Shawarma
612478,8,Shawarma
501416,Around 8~10 excluding condiments.,Shawarma
629710,15,Shawarma
502610,"The meat, the vegetables, the bread,the sauce.",Shawarma
603476,9,Shawarma
600957,11,Shawarma
713423,"about 8 (eggs, rice, some sorts of vegetables, etc.)",Shawarma
722431,Around 7 key ingredients.,Shawarma
633234,5,Shawarma
148179,10,Shawarma
715845,10,Shawarma
632153,Around 6,Shawarma
606552,6,Shawarma
738409,8,Shawarma
612096,7,Shawarma
743537,5,Shawarma
632896,I would expect this food item to contain 5 ingredients.,Shawarma
605207,5,Shawarma
617542,4 to 6,Shawarma
719554,3,Shawarma
627427,6,Shawarma
411315,5,Shawarma
631507,7,Shawarma
627798,10,Shawarma
712093,7,Shawarma
627488,12,Shawarma
626493,7,Shawarma
601363,12-Oct,Shawarma
712898,9,Shawarma
603398,7-May,Shawarma
631012,11,Shawarma
601848,5,Shawarma
612131,7,Shawarma
408630,3,Shawarma
632091,8,Shawarma
601122,12,Shawarma
602871,3,Shawarma
520828,4,Shawarma
514199,6,Shawarma
389697,10,Shawarma
714430,10,Shawarma
612567,4,Shawarma
744468,5,Shawarma
502722,"Can vary on how much vegetables and sauces you want, but maybe 7-8 ingredients not including spices.",Shawarma
519681,20,Shawarma
631125,8,Shawarma
606119,5,Shawarma
627252,15,Shawarma
616568,5,Shawarma
603838,10,Shawarma
719735,"1. Pita wrap

2. Meat 

3. Lettuce

4. Tomato

5. Onions

6. Sauce

 ",Shawarma
608062,7,Shawarma
608704,7,Shawarma
520383,"A variable number of ingredients, maybe around 6?",Shawarma
603793,10,Shawarma
603933,6-10 ingredients,Shawarma
605519,8,Shawarma
524803,4 or more,Shawarma
629712,6,Shawarma
627505,10,Shawarma
526131,"I would expect it to have:

* A wrap

* Lettuce

* Beef or Chicken

* Sauce",Shawarma
607065,7,Shawarma
500077,15,Shawarma
633350,12,Shawarma
601945,6,Shawarma
629878,5 to 6,Shawarma
712766,Minimum of 10 ingredients,Shawarma
603664,8,Shawarma
840827,4,Shawarma
604897,6,Shawarma
525422,6,Shawarma
602560,"I would expect good 7-8 ingredients including veggies, flour, meat and any sauces. ",Shawarma
738379,Around 8-10.,Shawarma
622023,8,Shawarma
604770,9,Shawarma
608318,10-Jul,Shawarma
626757,5,Shawarma
745297,6,Shawarma
627599,7,Shawarma
520037,7,Shawarma
632189,6,Shawarma
627636,Minimum 4,Shawarma
295428,"some type of meat, wheat flour, sauces, fries, veggie, pickles",Shawarma
228777,10,Shawarma
609278,8,Shawarma
614089,6,Shawarma
607517,6,Shawarma
714607,5,Shawarma
716650,I would expect a lot of ingredients for this food item. The wrap and the fillings combined would total around 10 ingredients.,Shawarma
497695,5,Shawarma
496858,"I expect this food item to contain around 12 ingredients: the flatbread, around 5-6 veggies like tomatoes, lettuce, pickled beetroot, cucumber, pickles, carrots. Some meat, some cheese like feta, and lastly the sauces: hotsauce, garlic sauce (toum), hummus, and tzatziki. ",Shawarma
608688,5,Shawarma
604386,4,Shawarma
628559,8,Shawarma
715152,9,Shawarma
604110,4,Shawarma
629010,10,Shawarma
605254,10,Shawarma
628990,6,Shawarma
625295,7,Shawarma
603415,12-Aug,Shawarma
635533,5,Shawarma
630389,7,Shawarma
714901,Six.,Shawarma
629792,"7: wrap, protein/falafel, lettuce, tomato, cucumber, onion, sauce",Shawarma
629025,9-Jun,Shawarma
524441,7,Shawarma
389109,5,Shawarma
631216,8,Shawarma
738875,7,Shawarma
634669,4,Shawarma
409940,5,Shawarma
399605,6,Shawarma
721831,6,Shawarma
835223,5,Shawarma
712938,10,Shawarma
395712,2 ingredients ,Shawarma
603388,about 8,Shawarma
617774,10-May,Shawarma
289440,5,Shawarma
714503,3 to 4,Shawarma
714893,7,Shawarma
601094,"12 (chicken/beef, flatbread, onion, pepper, pickle, sauce, spices for marinade)",Shawarma
618150,7,Shawarma
607944,7,Shawarma
629844,6,Shawarma
626482,7,Shawarma
609257,10,Shawarma
717921,20,Shawarma
181851,7,Shawarma
629041,6,Shawarma
604062,Six to seven.,Shawarma
716749,7,Shawarma
633143,Around 8-10 ingredients,Shawarma
743828,8,Shawarma
520861,7,Shawarma
517019,9,Shawarma
626779,"meat, pita, onions",Shawarma
611716,5,Shawarma
193195,15,Shawarma
627530,8,Shawarma
626479,Around 6,Shawarma
624540,"5, 

lettuce, 

chicken

powder",Shawarma
625315,9-Jun,Shawarma
601941,6,Shawarma
723968,25 ingredients,Shawarma
715806,5,Shawarma
720045,8,Shawarma
713585,5,Shawarma
611188,6,Shawarma
606726,7,Shawarma
629142,I would expect this food item to contain around 10 ingredients.,Shawarma
634825,10,Shawarma
613409,"Rice, Beef, Spice, Onion, Tomato, Lettuce. Total of 6",Shawarma
633224,7,Shawarma
738850,8,Shawarma
500470,At least 5,Shawarma
13183,10,Shawarma
627169,8,Shawarma
229041,7,Shawarma
496344,3,Shawarma
409723,15,Shawarma
630949,7,Shawarma
413014,"7-10, depending on how many veggies you want inside",Shawarma
310438,7,Shawarma
627430,8,Shawarma
526510,8,Shawarma
390823,5,Shawarma
717116,5-Mar,Shawarma
712143,8,Shawarma
612538,10,Shawarma
627539,6,Shawarma
603812,7,Shawarma
740568,6,Shawarma
712702,4,Shawarma
519638,"7 - Pita Bread, Chicken, Lettuce, Pickle, Onion, Rice, Shawarma Sauce",Shawarma
627800,7-Jun,Shawarma
406863,8,Shawarma
726962,8,Shawarma
628077,15,Shawarma
601693,7 (if we're talking about a shawarma wrap),Shawarma
517096,8 to 10,Shawarma
606821,8,Shawarma
455047,4,Shawarma
625576,12,Shawarma
716549,5,Sushi
715742,"紫菜，米饭

rice, vege

salmon",Sushi
727333,4,Sushi
606874,3,Sushi
505318,10-Mar,Sushi
605771,5,Sushi
606929,about 5,Sushi
609789,3,Sushi
644623,3,Sushi
626792,10,Sushi
714863,4,Sushi
602805,11,Sushi
602526,5,Sushi
497421,"Around 4, such as rice, meat, vegetables, seafood.",Sushi
389328,4,Sushi
289931,"5: Seaweed, Rice, Fish, Wasabi, Soy Sauce",Sushi
620148,3,Sushi
387155,4,Sushi
516975,10,Sushi
630825,4,Sushi
614043,5,Sushi
521125,4,Sushi
627780,2,Sushi
492744,6-Apr,Sushi
618747,"Rice, nori, cucumber, salmon, avocado, crab, soy sauce",Sushi
607815,3,Sushi
601609,10,Sushi
602657,4,Sushi
616449,Four,Sushi
501893,2: rice and sashimi,Sushi
507448,"salmon, cucumber",Sushi
606556,4,Sushi
724326,"5 (Nori, rice, cream cheese, cucumber and salmon)",Sushi
616945,3,Sushi
630962,2,Sushi
715814,"4 ingredients, dried laver, rice, some sauces (usually 1 sauce), some toppings (usually just 1 kind, sometimes might come to 2 or 3, and as sometimes dried laver is not used, we will give an average of 4 here).",Sushi
502799,4,Sushi
605278,"5 for nigiri (rice, water, rice vinegar, wasabi, some sort of protein)",Sushi
388888,5,Sushi
519548,3,Sushi
405521,2,Sushi
607410,3,Sushi
715795,6,Sushi
625326,3,Sushi
627220,5 to 7,Sushi
634964,2,Sushi
722500,3,Sushi
602824,5,Sushi
618355,4,Sushi
611097,5,Sushi
634328,15,Sushi
607160,7,Sushi
728522,5,Sushi
718570,5,Sushi
714598,3,Sushi
601950,2,Sushi
612478,4,Sushi
501416,2~5 excluding condiments and without variety.,Sushi
629710,3,Sushi
502610,2 rice and fish. can be 3 with toppings,Sushi
603476,4,Sushi
600957,8,Sushi
713423,"~3 to 5: sushi rice + dried seaweed + some kind of sashimi is sufficient, but maybe something more as well",Sushi
722431,Around 6 key ingredients.,Sushi
633234,4,Sushi
148179,5,Sushi
715845,7,Sushi
632153,At least 3,Sushi
606552,4,Sushi
738409,3,Sushi
612096,5,Sushi
743537,4,Sushi
632896,I expect 6 ingredients contained in this food item.,Sushi
605207,4,Sushi
617542,2 to 3,Sushi
719554,1,Sushi
627427,2,Sushi
411315,5,Sushi
631507,It depends on what kind… on average 5,Sushi
627798,4,Sushi
712093,5,Sushi
627488,7,Sushi
626493,4,Sushi
601363,5-Feb,Sushi
712898,4,Sushi
603398,10-Jul,Sushi
631012,9,Sushi
601848,5,Sushi
612131,6,Sushi
408630,5,Sushi
632091,6-May,Sushi
601122,5,Sushi
602871,3,Sushi
520828,3,Sushi
514199,7,Sushi
389697,4,Sushi
714430,10,Sushi
612567,3,Sushi
744468,3,Sushi
502722,Around 6-7 ingredients for a sushi roll with 3-4 simple ingredients. ,Sushi
519681,4,Sushi
631125,6,Sushi
606119,5,Sushi
627252,3,Sushi
616568,2,Sushi
603838,8,Sushi
719735,"1. Rice

2. Fish",Sushi
608062,5,Sushi
608704,5,Sushi
520383,"Not very many, but it depends. Around 4.",Sushi
603793,6,Sushi
603933,10-May,Sushi
605519,4,Sushi
524803,"2, or 3+",Sushi
629712,4,Sushi
627505,6,Sushi
526131,"I would expect it to have:

* Seawead

* Rice

* Cucumbers

* Salmon

* Avacado

* Possibly some sweet sauces",Sushi
607065,4,Sushi
500077,20,Sushi
633350,"5

 ",Sushi
601945,5,Sushi
629878,3 to 6,Sushi
712766,Around 3-6 ingredients,Sushi
603664,2,Sushi
840827,4,Sushi
604897,4,Sushi
525422,4,Sushi
602560,Maybe 3 to 4 ingredients. ,Sushi
738379,6-Apr,Sushi
622023,5,Sushi
604770,4,Sushi
608318,6-May,Sushi
626757,3,Sushi
745297,4,Sushi
627599,3,Sushi
520037,4,Sushi
632189,3,Sushi
627636,Minimum 3,Sushi
295428,"high quality raw fish, rice, vinegar, seaweed, sesame",Sushi
228777,7,Sushi
609278,5,Sushi
614089,3,Sushi
607517,6,Sushi
714607,4,Sushi
716650,"I would say the number of ingredients varies largely based on the complexity of one's order. However, if I had to generalize, I would say about 5 ingredients.",Sushi
497695,6,Sushi
496858,"The simplest sushi would contain 3 ingredients: rice, seaweed, and fish. But maybe a sushi that is more complex would have avocado, tofu, cucumber, crab. So anywhere from 3-7+ ingredients. ",Sushi
608688,5,Sushi
604386,3,Sushi
628559,8,Sushi
715152,9,Sushi
604110,5,Sushi
629010,5,Sushi
605254,4,Sushi
628990,5,Sushi
625295,9,Sushi
603415,8-Jun,Sushi
635533,3,Sushi
630389,3,Sushi
714901,Four,Sushi
629792,"5: rice, seaweed, fish, avocado, cucumber",Sushi
629025,9,Sushi
524441,6,Sushi
389109,5,Sushi
631216,5,Sushi
738875,5,Sushi
634669,4,Sushi
409940,2,Sushi
399605,3,Sushi
721831,5,Sushi
835223,5,Sushi
712938,3,Sushi
395712,4 ingredients ,Sushi
603388,3,Sushi
617774,10,Sushi
289440,2,Sushi
714503,2,Sushi
714893,5,Sushi
601094,"8 ingredients (nori, rice, mayo, soy sauce, fish, cucumber, avocado, sesame seeds)",Sushi
618150,3,Sushi
607944,4,Sushi
629844,3,Sushi
626482,4,Sushi
609257,3,Sushi
717921,10,Sushi
181851,4,Sushi
629041,4,Sushi
604062,Two to three.,Sushi
716749,4 or 5,Sushi
633143,"Around 5 depending on the type of sushi you make. But for the average Sushi, I expect 5.",Sushi
743828,5,Sushi
520861,4,Sushi
517019,3,Sushi
626779,"fish, rice, seaweed",Sushi
611716,3,Sushi
193195,3,Sushi
627530,5,Sushi
626479,Really depends on the type of sushi but typically around 5 or so,Sushi
624540,"rice, cucumber, crab, 

3",Sushi
625315,7-Feb,Sushi
601941,4,Sushi
723968,12 ingredients,Sushi
715806,5,Sushi
720045,5,Sushi
713585,5,Sushi
611188,4,Sushi
606726,4,Sushi
629142,I would expect this food item to contain around 3 to 4 ingredients.,Sushi
634825,3,Sushi
613409,"Fish, Rice, Vinegar. Total of 3",Sushi
633224,5,Sushi
738850,5,Sushi
500470,At least 3,Sushi
13183,4,Sushi
627169,5,Sushi
229041,4-Feb,Sushi
496344,3,Sushi
409723,7,Sushi
630949,5,Sushi
413014,"5-7, depending on what type of sushi",Sushi
310438,4,Sushi
627430,9,Sushi
526510,5,Sushi
390823,3,Sushi
717116,7-Apr,Sushi
712143,4,Sushi
612538,3,Sushi
627539,4,Sushi
603812,2,Sushi
740568,3,Sushi
712702,3,Sushi
519638,"Sushi Rice, Fish",Sushi
627800,5-Jan,Sushi
406863,5,Sushi
726962,5,Sushi
628077,5,Sushi
601693,5,Sushi
517096,2 to 3,Sushi
606821,8,Sushi
455047,4,Sushi
625576,8,Sushi
747734,5-Mar,Pizza
517064,I'd expect it to contain about 7-8 ingredients.,Pizza
387330,More than 15,Pizza
746750,10-Mar,Pizza
629285,4,Pizza
743488,4,Pizza
523710,8-Mar,Pizza
635179,6,Pizza
313562,8,Pizza
712670,"I would expect it to have 3 ingredients:
1. Dough
2. Tomato Sauce
3. Mozzarella",Pizza
635627,7,Pizza
524485,10,Pizza
632320,"Tomato, Beef, Onion",Pizza
633520,"Depends how fine-grain you're going. 

 

Obviously we expect flower, water, salt and yeast for the dough (4)

 

Then we have tomatoes, more salt, and some spices for the sauce (anywhere from 3-10)

 

Then the toppings; depending on how many you'd like to add. So we're looking at anywhere from ~10-17 ingredients to make it from start to finish",Pizza
606905,7,Pizza
393424,7,Pizza
618333,"Flour for dough

sauce

cheese 

two toppings 

3 min to 7

5 being optimal",Pizza
628558,7,Pizza
613776,6,Pizza
317214,"I would expect there to be dough, at least one type of cheese, tomato sauce and some pepperoni. Ideally there would also be some onion and other vegetables. So overall I would expect 4 ingredients.",Pizza
628093,"I would expect it to contain 5 ingredients.

Dough, cheese, tomato sauce, some kind of meat, and some kind of vegetable.",Pizza
411781,4,Pizza
525567,6,Pizza
634455,3 to 4.,Pizza
498848,13,Pizza
638838,4,Pizza
411253,8,Pizza
410165,5,Pizza
608554,8,Pizza
602394,"dough (flour, eggs, water) 

cheese

tomato sauce 

3 ingredients ",Pizza
743623,"6 Ingredients

Dough, Tomato Sauce, Cheese, 2-3 Toppings such as Meat and Vegetables

Additionally Creamy Garlic Dip is a recommended compliment to the pizza. ",Pizza
87783,At least 3 ingredients.,Pizza
632431,"Tomato sauce, cheese, dough, mushrooms, olives, chicken, pineapple ",Pizza
744091,"Water, Yeast, Flour, Salt, Sugar, Tomato Sauce, Cheese so at least 7",Pizza
519570,10-Aug,Pizza
744484,15,Pizza
508149,5,Pizza
524992,8,Pizza
413570,5 ingredients,Pizza
306207,12-Jul,Pizza
634468,3,Pizza
522205,From 3 to 7,Pizza
5978,6,Pizza
742611,"At least 3:

1. Tomato Sauce

2. Cheese

3. Dough 

Oftenly also:

4. Meat (Sausage, Bacon, etc)

5. Leaf (Basil Leaf, Oregano Leaf)

6. Olive Oil",Pizza
631198,7,Pizza
606150,Five.,Pizza
313577,The dough would take probably 3-5 ingredients and with the toppings probably another 4-8 including cheese and tomato sauce. So an average of 10 ingredients.,Pizza
629700,"3 core ingredients (cheese, tomato sauce, flour), and a variable number of toppings. ",Pizza
630928,5,Pizza
607286,15-20,Pizza
607609,"8

Flour, sugar, starch, salt, water, tomatoes, mozzarella cheese, olive oil.",Pizza
522890,4,Pizza
630227,3+,Pizza
603607,4,Pizza
617029,5,Pizza
617462,4,Pizza
633001,10,Pizza
634690,5,Pizza
630198,4,Pizza
520507,7,Pizza
635065,3,Pizza
613209,3,Pizza
605452,6,Pizza
24137,7,Pizza
518809,5,Pizza
634646,4,Pizza
508156,6,Pizza
632909,10,Pizza
414734,"at least 4， cheese,olive, papper, Ham piece",Pizza
630250,"flour, water, yeast, salt, oil, tomato sauce, cheese, pepperoni, vegetables.",Pizza
411810,anywhere from 3 to as much as you like,Pizza
214145,10,Pizza
628986,4,Pizza
211158,7,Pizza
507382,4 to 6 ingredients,Pizza
522877,Around 5 ingredients ,Pizza
635024,"A minimum of 3 but there can be more, up to 7 usually.",Pizza
602845,"The number of ingredients in the food is differs and depends on the choice of the customer. However, the food can have between 4 to 10 ingredients.",Pizza
519822,"dough, flour, tomato sauce, pepperoni, cheese",Pizza
600849,4,Pizza
605148,8,Pizza
631600,"For regular cheese pizza, one will need the following ingredients:

1. Flour

2. Water

3. Tomato Sauce

4. Cheese

5. Yeast

 

So in total, five ingredients",Pizza
716142,"4 ingredients - dough, cheese, toppings, and pizza sauce.",Pizza
525853,3 to 6 ingredients,Pizza
835124,5,Pizza
634764,7,Pizza
630117,"At least 3

 the dough, tomatoes sauce, and cheese",Pizza
631531,8-Jun,Pizza
714062,At least 4,Pizza
629156,7,Pizza
498563,"9: Flour, Levain (at peak) or instant yeast, water, salt, olive oil, tomatoes, mozzarella, basil",Pizza
625319,zero to four,Pizza
723931,five ingredients,Pizza
526497,6,Pizza
630999,5,Pizza
97339,5 or 6 ingredients,Pizza
631909,5-Mar,Pizza
625349,"4 toppings

3 base ingredients (dough, cheese, sauce)",Pizza
632299,A minimum of 3.,Pizza
616634,9,Pizza
616836,5,Pizza
609116,5,Pizza
626789,5,Pizza
504599,10-May,Pizza
632684,4,Pizza
522967,3,Pizza
632893,10,Pizza
632156,"I would expect this food item to contain at least eight ingredients, taking a base recipe for cheese pizza as an example: water, sugar, yeast, oil, salt, flour, tomatoes, cheese.",Pizza
603582,15,Pizza
626754,"At the bare minimum, pizza dough, cheese, tomato sauce. (3 Ingredients)",Pizza
298481,15-Jul,Pizza
631583,6,Pizza
718026,5,Pizza
616713,7,Pizza
602533,5,Pizza
522345,"This food should contain at least 3 ingredients, but could include as many as the user wants. However, any number over 6 ingredients weighs the slices down too much and the pizza is less fun to eat.",Pizza
629758,5,Pizza
631496,"At a bare minimum, 3 - dough, cheese, and salsa.

At a maximum, around 4-5 toppings on top of this.",Pizza
491374,20-Mar,Pizza
632051,6,Pizza
409930,5,Pizza
632975,5,Pizza
407221,5,Pizza
204508,8,Pizza
618700,5,Pizza
627792,At least three ingredients.,Pizza
712054,3,Pizza
631881,Around 5–10,Pizza
716188,"Tomato sauce, cheese, ham, pepperoni, pineapple, dough",Pizza
628744,6+,Pizza
604132,5,Pizza
629807,3,Pizza
741428,5,Pizza
633024,6,Pizza
631221,I would expect between 3 and 6 ingredients.,Pizza
601983,5,Pizza
