id,Q4: How much would you expect to pay for one serving of this food item?,Label
617542,Depends on the portion served. A full size can be around $15-30 while a piece can be $3-6.,Pizza
719554,$5 ,Pizza
627427,$5.00 ,Pizza
411315,6,Pizza
631507,5 dollars,Pizza
627798,$6 ,Pizza
712093,15$,Pizza
627488,$5 ,Pizza
626493,$6 ,Pizza
601363,$12-$18,Pizza
712898,5,Pizza
603398,20 - 25 CAD,Pizza
631012,5,Pizza
601848,$7 ,Pizza
612131,$2 ,Pizza
408630,5 dollars,Pizza
632091,15$ per pizza,Pizza
601122,15,Pizza
602871,10 cad,Pizza
520828,$5 ,Pizza
514199,4,Pizza
389697,10,Pizza
714430,10 dollars,Pizza
612567,$20 ,Pizza
744468,$3 ,Pizza
502722,Around $2-4 for a slice of pizza is reasonable.,Pizza
519681,5,Pizza
631125,6,Pizza
606119,$5 ,Pizza
627252,$6 ,Pizza
616568,20 dollars,Pizza
603838,10,Pizza
719735,$5 ,Pizza
608062,$2.50 ,Pizza
608704,$20 ,Pizza
520383,"$3.50, but I'm not sure about this because people don't often buy only one serving",Pizza
603793,15,Pizza
603933,3 dollars.,Pizza
605519,5 dollars,Pizza
524803,$3.50 ,Pizza
629712,17,Pizza
627505,$3.00 ,Pizza
526131,For one decently sized serving I would expect to pay $10 at most. This is based on how much I usually have to pay.,Pizza
607065,5,Pizza
500077,$5 ,Pizza
633350,$4 ,Pizza
601945,22 CAD,Pizza
629878,$2 to $5,Pizza
712766,3-8 dollars for one portion.,Pizza
603664,16,Pizza
840827,$25 ,Pizza
604897,25,Pizza
525422,3.5,Pizza
602560,"Again it depends a lot on the kind and size of pizza but talking about the most basic pizza, probably $25 !?",Pizza
738379,$15-$25,Pizza
622023,$3 ,Pizza
604770,5,Pizza
608318,$5 ,Pizza
626757,12 dollars,Pizza
745297,$7 ,Pizza
627599,$5 ,Pizza
520037,5,Pizza
632189,$3 ,Pizza
627636,Between $4 and $7,Pizza
295428,$4 ,Pizza
228777,3.5,Pizza
609278,$5 ,Pizza
614089,20 CAD,Pizza
607517,14,Pizza
714607,$5 ,Pizza
716650,"Usually this food item comes in large quantities. Assuming that a quarter of this item is one serving, then with a full item being about $15, I would say that I would expect to pay $3.75 for one serving. ",Pizza
497695,5,Pizza
496858,"For one slice of pizza, I would expect about a dollar or two. But for full pizzas, the cost could range anywhere from $12 for a small to $20 for a large. And as always, depending on where you get your pizza (somewhere simple and cheap, or somewhere fancy), these prices might change. ",Pizza
608688,$2.50 ,Pizza
604386,20,Pizza
628559,"$5

 

$15 for whole piazza)",Pizza
715152,7$,Pizza
604110,10,Pizza
629010,$4 ,Pizza
605254,4,Pizza
628990,$6 ,Pizza
625295,$4.00 ,Pizza
603415,$4-5,Pizza
635533,15 dollars,Pizza
630389,20,Pizza
714901,"For a single slice, I would pay $5. ",Pizza
629792,"$15 (one whole pizza)

 ",Pizza
629025,5,Pizza
524441,$10 ,Pizza
389109,18,Pizza
631216,6,Pizza
738875,$4 ,Pizza
634669,$2.29 ,Pizza
409940,8$,Pizza
399605,5,Pizza
721831,6,Pizza
835223,4,Pizza
712938,15,Pizza
395712,$4 - $8,Pizza
603388,12 cad,Pizza
617774,15.99-29.99,Pizza
289440,4,Pizza
714503,$15 ,Pizza
714893,$5.00 ,Pizza
601094,$6.50 ,Pizza
618150,"for a large pizza, $25.",Pizza
607944,5 dollars,Pizza
629844,$6 ,Pizza
626482,5,Pizza
609257,6$,Pizza
717921,$4 ,Pizza
181851,10,Pizza
629041,7 dollars,Pizza
604062,$15 ,Pizza
716749,15 dollar,Pizza
633143,Around $5 per serving,Pizza
743828, 4-6 dollars,Pizza
520861,12,Pizza
517019,4,Pizza
626779,4$ for a slice,Pizza
611716,7,Pizza
193195,$5 ,Pizza
627530,$10 ,Pizza
626479,"A slice would probably be like $5, a whole pizza maybe $15?",Pizza
624540,15 per person,Pizza
625315,$7 ,Pizza
601941,Around 15 dollar without tax,Pizza
723968,within 10 dollars,Pizza
715806,7,Pizza
720045,5,Pizza
713585,30,Pizza
611188,7,Pizza
606726,16,Pizza
629142,I would expect to pay around $5 dollars for one serving of this food item.,Pizza
634825,$5 ,Pizza
613409,8,Pizza
633224,$2.50 ,Pizza
738850,5,Pizza
500470,8.00 CAD,Pizza
13183,4,Pizza
627169,$20 ,Pizza
229041,5$,Pizza
496344,3 dollar per slice,Pizza
409723,7,Pizza
630949,$10 ,Pizza
413014,5-10$ for two slices,Pizza
310438,5,Pizza
627430,10,Pizza
526510,6,Pizza
390823,$5 ,Pizza
717116,about $20,Pizza
712143,15,Pizza
612538,$3 ,Pizza
627539,5$,Pizza
603812,5 bucks,Pizza
740568,$5 ,Pizza
712702,3 dollars,Pizza
519638,$2 for a slice,Pizza
627800,5 dollars,Pizza
406863,5,Pizza
726962,8-Feb,Pizza
628077,$5 ,Pizza
601693,$3 ,Pizza
517096,$5 ,Pizza
606821,$3 ,Pizza
455047,6,Pizza
625576,5,Pizza
716549,9,Shawarma
715742,8-12$,Shawarma
727333,8,Shawarma
606874,$10 ,Shawarma
505318,$8 ,Shawarma
605771,$10 ,Shawarma
606929,10 dollor,Shawarma
609789,15 dollar,Shawarma
644623,7-10 dollars,Shawarma
626792,13,Shawarma
714863,10,Shawarma
602805,11 Canadian Dollars,Shawarma
602526,$13 ,Shawarma
497421,About 20-30 CAD,Shawarma
389328,$10 ,Shawarma
289931,$12 ,Shawarma
620148,7,Shawarma
387155,12,Shawarma
516975,"$12 - $15

inflation 😩",Shawarma
630825,5 dollar,Shawarma
614043,8,Shawarma
521125,$9.00 ,Shawarma
627780,$10 ,Shawarma
492744,14,Shawarma
618747,I guess around $9,Shawarma
607815,10 CAD,Shawarma
601609,10,Shawarma
602657,10,Shawarma
616449,$10 ,Shawarma
501893,CAD10-15,Shawarma
507448,10,Shawarma
606556,4 dollars,Shawarma
724326,$12 ,Shawarma
616945,8,Shawarma
630962,7.5,Shawarma
715814,"I would prefer to pay about 5-8 Canadian dollars for each of these, preferably 6-7 as for me this is only a quick lunch on week days.",Shawarma
502799,$6 ,Shawarma
605278,$7 ,Shawarma
388888,12,Shawarma
519548,$15 ,Shawarma
405521,15,Shawarma
607410,$8 ,Shawarma
715795,$8 ,Shawarma
625326,$7 ,Shawarma
627220,11 to 14 dollars,Shawarma
634964,$10 ,Shawarma
722500,$7 ,Shawarma
602824,8 dollars,Shawarma
618355,10,Shawarma
611097,6,Shawarma
634328,$12 ,Shawarma
607160,$8 ,Shawarma
728522,8,Shawarma
718570,10,Shawarma
714598,12 cad,Shawarma
601950,7,Shawarma
612478,$14 ,Shawarma
501416,Around $5~15 before tax.,Shawarma
629710,$16 ,Shawarma
502610,10-15$,Shawarma
603476,10,Shawarma
600957,$16.00 ,Shawarma
713423,"This is my first time hearing about this food, so I don't really have an idea...",Shawarma
722431,10$.,Shawarma
633234,$8 ,Shawarma
148179,15,Shawarma
715845,$15 ,Shawarma
632153,At most $12,Shawarma
606552,15,Shawarma
738409,10,Shawarma
612096,6,Shawarma
743537,10 dollar,Shawarma
632896,I would expect 10 dollars for 1 serving of this food.,Shawarma
605207,$10 ,Shawarma
617542,$15 to 25,Shawarma
719554,$6 ,Shawarma
627427,$15.00 ,Shawarma
411315,6,Shawarma
631507,At most 10 dollars,Shawarma
627798,$10 ,Shawarma
712093,10$,Shawarma
627488,$10 ,Shawarma
626493,10,Shawarma
601363,$8-$15,Shawarma
712898,7,Shawarma
603398,7 - 10 CAD,Shawarma
631012,11,Shawarma
601848,$9 ,Shawarma
612131,$2 ,Shawarma
408630,10 dollars,Shawarma
632091,12-14$ per wrap.,Shawarma
601122,10,Shawarma
602871,6 cad,Shawarma
520828,10,Shawarma
514199,7,Shawarma
389697,8,Shawarma
714430,15 dollars,Shawarma
612567,$6 ,Shawarma
744468,$5 ,Shawarma
502722,In Toronto around $7-8 per shawarma.,Shawarma
519681,10,Shawarma
631125,10,Shawarma
606119,$13 ,Shawarma
627252,$8 ,Shawarma
616568,15 dollars,Shawarma
603838,6,Shawarma
719735,$10 ,Shawarma
608062,$12 ,Shawarma
608704,$10 ,Shawarma
520383,$11 ,Shawarma
603793,20,Shawarma
603933,15 dollars,Shawarma
605519,8 dollars,Shawarma
524803,$7.00+,Shawarma
629712,14,Shawarma
627505,$8.00 ,Shawarma
526131,I would expect to pay about $8 for one serving. This is based on how much I usually have to pay.,Shawarma
607065,12,Shawarma
500077,$10 ,Shawarma
633350,$11.50 ,Shawarma
601945,6 CAD,Shawarma
629878,$8 to $10,Shawarma
712766,Around 10-20 dollars for one portion,Shawarma
603664,16,Shawarma
840827,$10 ,Shawarma
604897,13,Shawarma
525422,8,Shawarma
602560,It should be cheap maybe at max 12 bucks. ,Shawarma
738379,$8-$12,Shawarma
622023,$10 ,Shawarma
604770,11,Shawarma
608318,$10-15,Shawarma
626757,10 dollars,Shawarma
745297,$9 ,Shawarma
627599,$7 ,Shawarma
520037,12,Shawarma
632189,5.99,Shawarma
627636,Between $6 and $9,Shawarma
295428,$8 ,Shawarma
228777,8,Shawarma
609278,$12 ,Shawarma
614089,10 CAD,Shawarma
607517,14,Shawarma
714607,$5 ,Shawarma
716650,I would expect to pay around $7 to $8 dollars for one serving of this food item at the food trucks.,Shawarma
497695,12,Shawarma
496858,I would expect to pay around $8-10. ,Shawarma
608688,$10 ,Shawarma
604386,10,Shawarma
628559,8,Shawarma
715152,15$,Shawarma
604110,10,Shawarma
629010,$9 ,Shawarma
605254,9,Shawarma
628990,$11 ,Shawarma
625295,$6.00 ,Shawarma
603415,$7-10,Shawarma
635533,10,Shawarma
630389,17,Shawarma
714901,I would pay $12.,Shawarma
629792,$10 ,Shawarma
629025,20,Shawarma
524441,$10 ,Shawarma
389109,20,Shawarma
631216,10,Shawarma
738875,$10 ,Shawarma
634669,$16.99 ,Shawarma
409940,10$,Shawarma
399605,7,Shawarma
721831,11,Shawarma
835223,12,Shawarma
712938,10,Shawarma
395712,$10 - 15$,Shawarma
603388,13 cad,Shawarma
617774,7.99-15.99,Shawarma
289440,7,Shawarma
714503,10,Shawarma
714893,$10.00 ,Shawarma
601094,$7.50 ,Shawarma
618150,$9 ,Shawarma
607944,10,Shawarma
629844,$7 ,Shawarma
626482,9,Shawarma
609257,14$,Shawarma
717921,$13 ,Shawarma
181851,8,Shawarma
629041,9 dollars,Shawarma
604062,$6 ,Shawarma
716749,10-15 dollar,Shawarma
633143,Around $8,Shawarma
743828,12,Shawarma
520861,10,Shawarma
517019,11,Shawarma
626779,15$,Shawarma
611716,7,Shawarma
193195,$15 ,Shawarma
627530,$10 ,Shawarma
626479,$8 ,Shawarma
624540,7 for 2,Shawarma
625315,$12 ,Shawarma
601941,14 dollar without tax,Shawarma
723968,within 10 dollors,Shawarma
715806,10,Shawarma
720045,6,Shawarma
713585,10,Shawarma
611188,7,Shawarma
606726,8,Shawarma
629142,I would expect to pay around $10 for a single serving of this food item.,Shawarma
634825,$10 ,Shawarma
613409,14,Shawarma
633224,$4.00 ,Shawarma
738850,10,Shawarma
500470,8.50 CAD,Shawarma
13183,10,Shawarma
627169,$8 ,Shawarma
229041,5-10 dollars,Shawarma
496344,8,Shawarma
409723,10,Shawarma
630949,$7 ,Shawarma
413014,7-10$ for one shawarma,Shawarma
310438,10,Shawarma
627430,8,Shawarma
526510,10,Shawarma
390823,$7 ,Shawarma
717116,~$15,Shawarma
712143,18,Shawarma
612538,$5 ,Shawarma
627539,10$,Shawarma
603812,7 Bucks,Shawarma
740568,$8 ,Shawarma
712702,10,Shawarma
519638,$7.25 for one wrap,Shawarma
627800,8-12 dollars,Shawarma
406863,10,Shawarma
726962,20,Shawarma
628077,12,Shawarma
601693,$7 ,Shawarma
517096,$7 to $10,Shawarma
606821,$5 ,Shawarma
455047,8,Shawarma
625576,10,Shawarma
716549,15,Sushi
715742,6$ a pack,Sushi
727333,5dollar,Sushi
606874,$15 ,Sushi
505318,$8 ,Sushi
605771,$15 ,Sushi
606929,10 dollor,Sushi
609789,30 dollar,Sushi
644623,15-30 dollars,Sushi
626792,12,Sushi
714863,20,Sushi
602805,16 Canadian Dollars,Sushi
602526,$9 ,Sushi
497421,30-100 CAD,Sushi
389328,$15 ,Sushi
289931,$20 ,Sushi
620148,12,Sushi
387155,16,Sushi
516975,$13 - $20 sadly,Sushi
630825,15 dollars,Sushi
614043,23,Sushi
521125,$5.00 ,Sushi
627780,$50 ,Sushi
492744,20,Sushi
618747,"Sushi can cost quite a lot sometimes if it is an omakase restaurant. For regular sushi, one box of sushi costs around $15.",Sushi
607815,20 CAD,Sushi
601609,15,Sushi
602657,20,Sushi
616449,$12 ,Sushi
501893,CAD15-20,Sushi
507448,30,Sushi
606556,4 dollars,Sushi
724326,$16-18,Sushi
616945,5,Sushi
630962,18,Sushi
715814,"For a meal of sushi (like dinner), though I never had it at Toronto, I would expect to pay for around 40-50 CAD, and for each piece/plate, depending on the ingredients/number of sushi, it may cost 5-10 normally, and I think this is a fair price.",Sushi
502799,$10 ,Sushi
605278,$10 ,Sushi
388888,20,Sushi
519548,$20 ,Sushi
405521,18,Sushi
607410,$16 ,Sushi
715795,$10 ,Sushi
625326,$1 ,Sushi
627220,15 to 20 dollars,Sushi
634964,$20 ,Sushi
722500,$1 ,Sushi
602824,10 dollars,Sushi
618355,8,Sushi
611097,10,Sushi
634328,$15 ,Sushi
607160,$15 ,Sushi
728522,15,Sushi
718570,10,Sushi
714598,35,Sushi
601950,3,Sushi
612478,$14 ,Sushi
501416,$15 or above,Sushi
629710,$2 ,Sushi
502610, 6$ ,Sushi
603476,20,Sushi
600957,12,Sushi
713423,Maybe for ~CA$10-15 for 10 simple sushis at sushi express restaurants,Sushi
722431,15$ for 10pcs.,Sushi
633234,$10 ,Sushi
148179,30,Sushi
715845,$17 ,Sushi
632153,At most $15,Sushi
606552,12,Sushi
738409,15,Sushi
612096,7.5,Sushi
743537,3 dollars,Sushi
632896,I would expect 12 dollars for 1 serving of this food item.,Sushi
605207,$10 ,Sushi
617542,Around $25 a meal or $1-3 each serving/piece,Sushi
719554,$10 ,Sushi
627427,$30.00 ,Sushi
411315,9,Sushi
631507,Around 10 dollars per roll,Sushi
627798,$11 ,Sushi
712093,15$,Sushi
627488,15,Sushi
626493,15,Sushi
601363,$14-$20,Sushi
712898,20,Sushi
603398,15 - 25 CAD,Sushi
631012,13,Sushi
601848,$13 ,Sushi
612131,$8 ,Sushi
408630,3 dollars,Sushi
632091,8-12$ per tray,Sushi
601122,7,Sushi
602871,6 cad,Sushi
520828,12,Sushi
514199,12,Sushi
389697,15,Sushi
714430,9 dollars,Sushi
612567,$5 ,Sushi
744468,$2 ,Sushi
502722,"In Toronto, around $12-15 for a single combo of sushi.",Sushi
519681,5,Sushi
631125,15,Sushi
606119,$1 ,Sushi
627252,$15 ,Sushi
616568,3 dollars,Sushi
603838,20,Sushi
719735,$15 ,Sushi
608062,$15 ,Sushi
608704,$20 ,Sushi
520383,"Depends on how many pieces are in a serving, but this food item is expensive.",Sushi
603793,10,Sushi
603933,80 dollars,Sushi
605519,10 dollars,Sushi
524803,$5 ,Sushi
629712,20,Sushi
627505,$11.00 ,Sushi
526131,I would expect to pay about $9 per serving. This is based on how much I usually have to pay.,Sushi
607065,20,Sushi
500077,$13 ,Sushi
633350,12,Sushi
601945,10 CAD,Sushi
629878,$8 to $20,Sushi
712766,Around 8-15 dollars for one serving,Sushi
603664,9,Sushi
840827,$20 ,Sushi
604897,35,Sushi
525422,15,Sushi
602560,Somewhere in the late 20's or early 30's. Maybe 28 bucks. ,Sushi
738379,$10-$50,Sushi
622023,20,Sushi
604770,9,Sushi
608318,$8-12,Sushi
626757,12 dollars,Sushi
745297,11,Sushi
627599,$16 ,Sushi
520037,10,Sushi
632189,2,Sushi
627636,Between $6 and $12,Sushi
295428,$20 ,Sushi
228777,14,Sushi
609278,$12 ,Sushi
614089,25 CAD,Sushi
607517,15,Sushi
714607,$4 ,Sushi
716650,I would expect to pay upwards of $12 for one serving of this food item. ,Sushi
497695,20,Sushi
496858,"Sushi is a bit pricy sometimes depending on the seafood, so maybe around $12-17. ",Sushi
608688,$15 ,Sushi
604386,30,Sushi
628559,20,Sushi
715152,25$,Sushi
604110,15,Sushi
629010,$10 ,Sushi
605254,10,Sushi
628990,$18 ,Sushi
625295,$10.00 ,Sushi
603415,$8-14,Sushi
635533,30,Sushi
630389,20,Sushi
714901,Thirty dollars,Sushi
629792,$8 (a roll),Sushi
629025,$20 ,Sushi
524441,$15 ,Sushi
389109,30 (unless we're talking like Monkey Sushi's BOGO offers which is really cheap for some reason...),Sushi
631216,20,Sushi
738875,$8 ,Sushi
634669,$6.96 ,Sushi
409940,15$,Sushi
399605,15,Sushi
721831,12,Sushi
835223,10,Sushi
712938,17,Sushi
395712,$15 - $20,Sushi
603388,20 cad,Sushi
617774,Anywhere from 5.99 to 25.99,Sushi
289440,10,Sushi
714503,10,Sushi
714893,$10.00 ,Sushi
601094,$13.00 ,Sushi
618150,$12 ,Sushi
607944,15-20,Sushi
629844,$15 ,Sushi
626482,20,Sushi
609257,18$,Sushi
717921,$20 ,Sushi
181851,15,Sushi
629041,14 dollars,Sushi
604062,$2 for like a single piece of sushi?,Sushi
716749,15-20 dollar,Sushi
633143,Around $10,Sushi
743828,7,Sushi
520861,20,Sushi
517019,7,Sushi
626779,$13 ,Sushi
611716,10,Sushi
193195,$20 ,Sushi
627530,$14 ,Sushi
626479,$10 ,Sushi
624540,20,Sushi
625315,$17 ,Sushi
601941,15,Sushi
723968,within 15 dollors,Sushi
715806,13,Sushi
720045,11,Sushi
713585,30,Sushi
611188,12,Sushi
606726,15,Sushi
629142,I would expect to pay around $14 for this food item.,Sushi
634825,$12 ,Sushi
613409,6,Sushi
633224,$10.00 ,Sushi
738850,$12.00 ,Sushi
500470,8.50 CAD,Sushi
13183,10,Sushi
627169,$20 ,Sushi
229041,15-20 dollars,Sushi
496344,4,Sushi
409723,12,Sushi
630949,$4 ,Sushi
413014,8-10$ for 5-8 sushis,Sushi
310438,15,Sushi
627430,10,Sushi
526510,20,Sushi
390823,$20 ,Sushi
717116,$20-30,Sushi
712143,8,Sushi
612538,$9 ,Sushi
627539,7$,Sushi
603812,20 Bucks,Sushi
740568,$14 ,Sushi
712702,10,Sushi
519638,$12 for a roll,Sushi
627800,20-Oct,Sushi
406863,13,Sushi
726962,30,Sushi
628077,12,Sushi
601693,$13 ,Sushi
517096,$10 to $30,Sushi
606821,$20 ,Sushi
455047,20,Sushi
625576,12,Sushi
747734,5-10 dollars,Pizza
517064,For a pizza slice I'd expect to pay $3-4 at most.,Pizza
387330,$20 ,Pizza
746750,$2 ,Pizza
629285,$12 medium size pizza,Pizza
743488,$5.00 for a single slice/meal,Pizza
523710,$15-25,Pizza
635179,$7.00 ,Pizza
313562,$2 ,Pizza
712670,I would pay about 4 Canadian dollars a slice.,Pizza
635627,$4 ,Pizza
524485,7.5,Pizza
632320,It's about 16 for a whole pizza.,Pizza
633520,anywhere from $5-$10,Pizza
606905,14.99,Pizza
393424,4,Pizza
618333,10 canadian dollars ,Pizza
628558,$10 ,Pizza
613776,4 CAD,Pizza
317214,I would expect to pay 3 or 4 dollars per slice of pizza,Pizza
628093,$20 to $25.,Pizza
411781,7,Pizza
525567,5,Pizza
634455,4 dollars.,Pizza
498848,3$,Pizza
638838,$4.29 ,Pizza
411253,2,Pizza
410165,15,Pizza
608554,5,Pizza
602394,$15 ,Pizza
743623,$20 maximum for a large pizza filled with toppings such as Chicken. ,Pizza
87783,$5 per slice.,Pizza
632431,15.00$,Pizza
744091,For a single slice probably 6 dollars,Pizza
519570,$6 ,Pizza
744484,$4 ,Pizza
508149,19,Pizza
524992,4,Pizza
413570,$8 ,Pizza
306207,$20 for 1 pizza,Pizza
634468,$30 ,Pizza
522205,$5 ,Pizza
5978,4 dollars,Pizza
742611,"Depends on the inch of the pizza, usually based on my uber eat experience, I expect 12$-20$ for a whole pizza.",Pizza
631198,20,Pizza
606150,8 CAD.,Pizza
313577,$7 for a slice on average,Pizza
629700,6 dollars,Pizza
630928,15,Pizza
607286,"For fast food chains, about $10/person.
For dine-in restaurants, about $20/person.",Pizza
607609,$2.50 ,Pizza
522890,10$,Pizza
630227,$20 ,Pizza
603607,3,Pizza
617029,20,Pizza
617462,$5 ,Pizza
633001,5,Pizza
634690,$6 ,Pizza
630198,5,Pizza
520507,$4 ,Pizza
635065,7,Pizza
613209,5,Pizza
605452,15,Pizza
24137,20,Pizza
518809,2,Pizza
634646,Assuming one serving means one slice: $3,Pizza
508156,$3 ,Pizza
632909,$7 ,Pizza
414734,lower than 15$,Pizza
630250,6 to 9 dollars,Pizza
411810,$2 ,Pizza
214145,10,Pizza
628986,16.99,Pizza
211158,12,Pizza
507382,5 Dollars,Pizza
522877,$6 ,Pizza
635024,Around 3-5 dollars depending on the quality.,Pizza
602845,You can expect to pay between $15 to $30 depending on the size.,Pizza
519822,$15-18,Pizza
600849,$6 ,Pizza
605148,Probably from $3-7. ,Pizza
631600,"For one slice, I would expect to pay around $3.

 

However for a whole pizza box, it would depend on the size. If small, then around $10. If medium, then around $12. If large, then around $15",Pizza
716142,$20 ,Pizza
525853,10 to 20 dollars,Pizza
835124,$7 ,Pizza
634764,$10 ,Pizza
630117,Around 15 for the most basic pizza,Pizza
631531,~$5,Pizza
714062,Around 20 CAD,Pizza
629156,10,Pizza
498563,$12-20 depending on size,Pizza
625319,2-4$ ,Pizza
723931,5 dollars,Pizza
526497,$6.00 ,Pizza
630999,20 dollars,Pizza
97339,$10 ,Pizza
631909,$5 ,Pizza
625349,$20 ,Pizza
632299,One slice should be no more than 5 dollars. ,Pizza
616634,$4 ,Pizza
616836,$3 ,Pizza
609116,$4 ,Pizza
626789,6,Pizza
504599,"I think the price of a full pizza should be 20 CAD. 

The price for a full adult male to eat should be 10 CAD",Pizza
632684,2,Pizza
522967,12,Pizza
632893,$15 ,Pizza
632156,"Taking one slice as one serving, I would expect to pay $5.",Pizza
603582,5 CAD,Pizza
626754,$15 ,Pizza
298481,$8-$24,Pizza
631583,18,Pizza
718026,15,Pizza
616713,15 CAD,Pizza
602533,15,Pizza
522345,"For one whole 10-inch pizza I would expect to pay $10, but for a single slice from a 16-inch pizza I would pay $6",Pizza
629758,around 13 dollars,Pizza
631496,$5 ,Pizza
491374,10-30 Canadian dollars,Pizza
632051,2.5,Pizza
409930,$10 to $20,Pizza
632975,4,Pizza
407221,$25 ,Pizza
204508,$5 ,Pizza
618700,10,Pizza
627792,5 CAD.,Pizza
712054,$16 ,Pizza
631881,$2 – $5,Pizza
716188,$25 for 12 inch.,Pizza
628744,$10-20,Pizza
604132,8,Pizza
629807,5 dollars,Pizza
741428,$8 ,Pizza
633024,5,Pizza
631221,I would expect to pay $4 for one slice of pizza.,Pizza
601983,5,Pizza
603007,3 dollars,Pizza
601217,3 CAD,Pizza
629221,$15 ,Pizza
634705,$4 ,Pizza
630070,$10 ,Pizza
630006,$20 ,Pizza
629072,$4 ,Pizza
630044,I expect to pay 4 dollar with tax.,Pizza
626026,4$,Pizza
520303,20,Pizza
630972,4 bucks,Pizza
630948,15,Pizza
626778,"(As in one slice) $3

(As in one small pizza) $10",Pizza
631181,4.4,Pizza
633541,15,Pizza
630098,5 dollar.,Pizza
629959,5 dollars,Pizza
633097,$5 ,Pizza
605290,$5/serving,Pizza
629869,$2 ,Pizza
632868,"One medium serving, it would be expected to pay around $20.",Pizza
209691,I would expect to pay $10 for one serving of this food item.,Pizza
600915,20,Pizza
525420,$15 ,Pizza
414710,$2.50 CAD,Pizza
629985,$3 ,Pizza
523128,9,Pizza
727410,$25 ,Pizza
616457,$10 ,Pizza
206487,12 dollars for a 4people pizza,Pizza
68949,"For a box, approximate $12-$17, depending on the size ordered.",Pizza
419835,5,Pizza
745732,12 to 20 dollars.,Pizza
543739,4,Pizza
410380,8,Pizza
385307,3  ,Pizza
634566,15,Pizza
625818,I would expect to pay 3.95$ for a slice.,Pizza
631164,$5-$10,Pizza
603130,$4 ,Pizza
229211,$5 ,Pizza
626849,$5.00 ,Pizza
634650,$5 for a slice of pizza ,Pizza
632125,$3 ,Pizza
626812,20,Pizza
631109,$3 or $3.50,Pizza
716766,5 for each piece,Pizza
494103,5 dollars,Pizza
628102,$4 ,Pizza
634683,3 dollars,Pizza
517774,6,Pizza
408898,2 dollars,Pizza
603189,4,Pizza
606857,3.50 CAD,Pizza
523080,3 dollars,Pizza
631014,$5 ,Pizza
503957,$11 ,Pizza
524890,$5 ,Pizza
717411,$3 ,Pizza
525311,$10 ,Pizza
630967,5,Pizza
604969,$5 ,Pizza
524480,$8 ,Pizza
630121,around $5,Pizza
629615,5 dollars,Pizza
634977,20,Pizza
630823,8$,Pizza
632228,2 to 3 dollars,Pizza
504548,$5 ,Pizza
522477,Around $5.,Pizza
523461,$3 ,Pizza
312640,about 2 dollars for a slice but for a full pizza depending on the size between 12-24 dollars,Pizza
854745,$5 ,Pizza
711854,"For a whole pizza with 16 inches, $30",Pizza
739254,4 dollars,Pizza
621555," 5$ for a slice of generic cheaper pizza, 15-20 for a whole pizza chain pizza size medium and 15-30 for a whole smaller more gourmet pizza.",Pizza
602482,4-6 dollars,Pizza
630416,"$6 + tax for 2 slices, so 6",Pizza
505458,15,Pizza
296589,Around $2-3 give or take,Pizza
604826,"I will expect to pay 6 dollars for one serving of this food item.

 ",Pizza
387820,None,Pizza
603612,15,Pizza
