id,Label,complexity,ingredients,weekday_lunch,weekday_dinner,weekend_lunch,weekend_dinner,party,late_night,price,movie,drink_coca cola,drink_water,drink_other,drink_soda,parents,siblings,friends,teachers,strangers,hot_sauce
516975,Pizza,2.0,5.75,1,1,1,1,1,1,2.5,Harry Potter & The Philosopher's Stone,1,0,0,0,0,0,1,0,0,1
630825,Pizza,3.0,6.0,0,1,0,0,1,0,8.0,Transformer,0,0,0,0,1,0,0,0,0,1
614043,Pizza,5.0,10.0,0,1,0,1,1,1,15.0,Ninja turtles ,1,0,0,0,0,1,1,0,0,1
521125,Pizza,4.0,5.0,1,1,1,1,1,1,3.0,High School Musical 3,0,0,1,0,1,1,1,1,0,2
627780,Pizza,3.0,5.0,1,1,1,1,1,1,8.0,Despicable Me,1,0,0,0,0,0,1,1,0,1
492744,Pizza,3.0,10.0,1,1,1,1,1,1,10.0,Teenage Mutant Ninja Turtles,0,0,0,1,1,0,1,0,0,2
618747,Pizza,2.0,5.75,1,1,1,1,1,1,6.0,Toy Story,0,0,0,1,0,0,1,0,0,1
607815,Pizza,3.0,6.0,1,1,1,1,1,0,30.0,The Godfather,1,0,0,0,0,0,1,1,0,2
601609,Pizza,4.0,10.0,0,0,0,1,1,0,6.0,Spiderman,1,0,0,0,0,0,1,0,0,1
602657,Pizza,3.0,5.0,1,1,1,1,1,1,10.0,Pizza,1,0,0,0,0,0,1,1,0,1
616449,Pizza,4.0,5.75,1,1,0,1,1,0,5.0,Teenage Mutant Ninja Turtles,0,1,0,0,1,0,1,0,0,2
501893,Pizza,4.0,5.0,0,0,1,1,1,0,22.5,Fast & Furious,1,0,0,0,0,1,1,0,0,1
507448,Pizza,3.0,5.75,0,0,0,1,1,1,20.0,Teenage Mutant Ninja Turtles,1,0,0,0,0,0,1,0,0,2
606556,Pizza,1.0,3.0,0,0,0,0,1,0,8.0,The Garfield Movie,1,0,0,0,0,0,0,1,0,2
724326,Pizza,3.0,11.0,1,0,1,0,1,0,3.0,"""Spider-Man: No Way Home""",0,0,1,0,0,0,1,0,0,1
616945,Pizza,4.0,5.0,1,1,1,1,1,1,15.0,ratatouille,1,0,0,0,0,0,0,1,0,3
630962,Pizza,4.0,4.0,1,1,1,1,1,0,10.0,Five Nights At Freddies,1,0,0,0,0,0,1,1,0,1
715814,Pizza,2.0,5.75,1,1,0,0,1,0,6.0,other,0,0,0,1,1,0,1,1,0,2
502799,Pizza,2.0,8.0,0,0,0,1,1,0,10.0,Back to the future,0,0,1,0,1,1,1,0,0,1
605278,Pizza,2.0,4.0,0,0,0,1,1,1,4.0,Godfather,1,0,0,0,0,0,1,1,1,2
388888,Pizza,3.0,8.0,1,1,1,1,1,1,5.0,Mystic Pizza,1,0,0,0,0,0,1,0,0,2
519548,Pizza,3.0,5.5,1,1,1,1,1,1,6.0,Spider man 2,1,0,0,0,1,1,1,1,0,2
405521,Pizza,4.0,3.0,1,1,1,1,1,1,4.0,futurama,1,0,0,0,0,0,1,0,0,3
607410,Pizza,3.0,8.0,1,1,1,1,1,1,13.0,Iron Man I,0,0,0,1,0,1,0,1,0,1
715795,Pizza,4.0,8.0,1,1,1,1,1,0,13.0,Life of Pi,0,0,0,0,1,0,1,1,0,1
625326,Pizza,3.0,5.0,1,1,1,1,1,0,3.0,Avengers,0,0,0,1,0,1,1,1,0,2
627220,Pizza,3.0,5.0,1,0,0,1,1,1,6.5,Despicable Me,0,0,0,1,0,0,1,0,0,2
634964,Pizza,3.0,5.0,1,1,1,1,1,1,20.0,Spider-man,0,0,1,0,1,0,1,0,0,1
722500,Pizza,3.0,10.0,0,0,1,1,1,1,15.0,Home Alone,1,0,0,0,1,1,1,1,0,3
602824,Pizza,3.0,5.0,1,1,1,1,1,1,15.0,Any American movie,0,0,0,1,1,1,1,0,0,1
618355,Pizza,2.0,5.0,1,1,1,1,1,1,15.0,king kong,1,0,0,0,0,0,1,1,1,1
611097,Pizza,3.0,7.0,1,1,1,1,1,1,10.0,Home Alone,1,0,0,0,0,1,1,0,0,2
634328,Pizza,2.0,5.0,0,1,1,1,1,1,5.0,Teenage Mutant Ninja Turtles ,0,0,0,1,1,1,1,0,0,1
607160,Pizza,2.0,10.0,0,0,0,0,1,0,9.0,cloudy with a chance of meatballs,1,0,0,0,0,0,0,1,0,2
728522,Pizza,3.0,6.0,0,1,0,1,1,1,12.0,Marvel Movies,1,0,0,0,0,1,1,1,0,4
718570,Pizza,3.0,5.0,1,1,0,0,1,0,15.0,None,1,0,0,0,0,0,1,0,1,1
714598,Pizza,4.0,5.0,0,1,0,0,1,1,4.5,The Garfield Movie,0,0,0,0,1,1,1,1,0,2
601950,Pizza,3.0,4.0,1,0,0,0,1,1,3.0,Garfield,1,0,0,0,0,0,1,0,0,1
612478,Pizza,2.0,3.0,1,1,1,1,1,1,7.0,Grown ups,1,0,0,0,1,1,1,0,0,3
501416,Pizza,4.0,7.5,1,1,1,1,1,1,11.0,N/A (I don't watch a lot of movies),0,0,0,0,0,0,0,1,1,2
629710,Pizza,3.0,8.0,1,1,1,1,1,0,15.0,deadpool,1,0,0,0,1,1,1,0,0,2
502610,Pizza,2.0,3.5,1,1,1,1,1,1,35.0,Cloudy with a chance of meatball,1,0,0,0,1,1,1,0,0,1
603476,Pizza,4.0,8.0,1,1,1,1,1,1,15.0,whiplash,1,0,0,0,1,1,1,0,0,1
600957,Pizza,2.0,10.0,1,1,1,1,1,1,6.0,Home alone,0,1,0,0,0,1,0,0,0,1
713423,Pizza,5.0,15.0,0,1,0,1,1,0,15.0,Inside Out,1,0,0,0,1,1,1,1,0,2
722431,Pizza,2.0,5.0,1,1,1,0,1,0,6.0,Teenage Mutant Ninja Turtles.,0,0,0,0,0,0,1,0,0,1
633234,Pizza,3.0,6.0,1,1,1,1,1,1,5.0,Avengers,1,0,0,0,0,1,1,1,0,1
148179,Pizza,3.0,5.0,1,1,1,1,1,0,7.0,None,1,0,0,0,0,0,1,0,0,2
715845,Pizza,2.0,9.0,0,0,0,1,1,1,20.0,Cloudy with a Chance of Meatballs,1,0,0,0,0,0,1,0,0,1
632153,Pizza,3.0,10.0,1,1,1,1,1,1,6.0,Ratatouille,0,1,0,0,0,0,1,0,0,1
606552,Pizza,3.0,6.0,1,1,1,1,1,1,10.0,Superbad,1,0,0,0,1,1,1,0,0,2
738409,Pizza,3.0,4.0,0,0,0,0,1,0,3.0,stranger things,1,0,0,0,0,0,0,1,1,1
612096,Pizza,4.0,6.0,0,0,0,1,1,0,4.99,Ratatouille,0,0,0,1,1,0,1,1,0,4
743537,Pizza,3.0,5.0,1,1,0,0,1,1,15.0,Pizza (2012),1,0,0,0,0,0,1,0,1,1
632896,Pizza,3.0,10.0,0,0,1,0,1,1,4.0,Home Alone,1,0,0,0,0,1,1,0,1,2
605207,Pizza,3.0,3.0,1,1,1,1,1,0,12.0,Teenage Mutant Ninja Turtles,1,0,0,0,0,0,1,0,0,1
617542,Pizza,4.0,5.75,0,1,0,1,1,1,6.0,Ninja Turtles,1,0,0,0,0,0,1,0,0,2
719554,Pizza,3.0,3.0,1,0,0,0,0,1,5.0,None,0,0,1,0,0,0,1,0,1,1
627427,Pizza,4.0,4.0,1,1,1,0,1,1,5.0,Air Bud,0,0,0,1,0,0,1,0,1,2
411315,Pizza,4.0,7.0,1,0,0,0,1,1,6.0,Deadpool,1,0,0,0,0,0,1,0,1,2
631507,Pizza,4.0,8.0,1,1,1,1,1,0,5.0,A quiet place: day one (2024),0,0,0,1,0,0,1,0,0,4
627798,Pizza,3.0,8.0,1,0,1,0,1,1,6.0,Finding Nemo,1,0,0,0,0,0,1,0,0,2
712093,Pizza,4.0,10.0,1,0,1,0,1,1,15.0,Avengers Endgame,1,0,0,0,0,0,0,1,1,2
627488,Pizza,1.0,10.0,1,1,0,1,1,1,5.0,Ratatouille,0,0,0,1,0,0,1,1,0,2
626493,Pizza,3.0,5.0,1,1,1,1,1,1,6.0,My Cousin Vinny,0,1,0,0,1,1,1,1,0,1
601363,Pizza,2.0,7.0,0,1,1,1,1,1,15.0,Garfield,0,0,0,0,0,1,1,1,0,3
712898,Pizza,4.0,8.0,0,0,0,1,1,1,5.0,Garfield,1,0,0,0,1,0,0,0,0,1
603398,Pizza,3.0,10.0,0,0,0,1,1,1,22.5,"Eat, Pray, Love",0,0,0,0,0,0,1,0,0,3
631012,Pizza,4.0,7.0,1,1,1,1,1,1,5.0,Ratatouille,1,0,0,0,1,1,1,0,0,1
601848,Pizza,3.0,6.0,1,0,0,1,1,1,7.0,Ratatouille,1,0,0,0,1,1,1,1,0,1
612131,Pizza,2.0,5.0,0,1,0,1,1,1,2.0,Home Alone,0,0,0,0,1,1,0,1,0,2
408630,Pizza,3.0,5.0,1,0,1,0,1,1,5.0,Five Nights at Freddy's,0,0,0,1,0,1,1,1,0,2
632091,Pizza,2.0,5.0,1,1,1,1,1,1,15.0,No movie,0,0,0,1,1,1,1,1,0,3
601122,Pizza,3.0,7.0,1,1,1,1,1,1,15.0,Home Alone,1,0,0,0,1,1,1,0,1,1
602871,Pizza,2.0,5.0,1,0,0,0,1,0,10.0,Spider-Man 2,1,0,0,0,0,0,1,0,0,2
520828,Pizza,3.0,9.0,1,1,1,1,1,1,5.0,Teenage Mutant Ninja Turtles,1,0,0,0,0,1,1,0,0,3
514199,Pizza,3.0,7.0,1,1,1,1,1,0,4.0,None,0,0,0,0,0,0,1,0,0,1
389697,Pizza,4.0,6.0,0,1,0,1,1,1,10.0,Comedy,1,0,0,0,0,0,1,1,0,2
714430,Pizza,3.0,10.0,1,0,1,0,0,0,10.0,iron man,0,0,1,0,0,0,1,0,0,2
612567,Pizza,4.0,6.0,0,1,1,1,1,0,20.0,Star Wars,1,0,0,0,0,1,1,0,0,3
744468,Pizza,3.0,3.0,1,0,0,0,1,0,3.0,Spider-Man,1,0,0,0,0,0,1,0,0,1
502722,Pizza,3.0,6.0,0,0,1,0,1,0,3.0,Any teenage mutant ninja turtle movie,1,0,0,0,0,1,1,0,0,4
519681,Pizza,3.0,10.0,1,1,1,1,1,1,5.0,The Dark Knight,1,0,0,0,0,0,1,0,0,1
631125,Pizza,3.0,5.0,1,1,1,1,1,1,6.0,Home Alone 2: Lost in New York,1,0,0,0,1,1,0,0,0,1
606119,Pizza,2.0,6.5,1,0,1,0,1,1,5.0,Pulp fiction,1,0,0,0,0,0,1,0,0,1
627252,Pizza,3.0,8.0,0,1,0,1,1,0,6.0,Ninja Turtles,0,1,0,0,0,1,1,0,0,1
616568,Pizza,3.0,3.0,1,1,1,1,1,0,20.0,fast and furious,0,0,0,1,1,1,1,0,0,2
603838,Pizza,2.0,5.0,0,0,1,1,0,0,10.0,Teenage Mutant Ninja Turtles,0,0,0,1,0,0,1,0,0,3
719735,Pizza,4.0,5.75,1,1,1,1,1,1,5.0,Spiderman 2,1,0,0,0,0,0,1,0,0,2
608062,Pizza,2.0,10.0,0,0,0,1,1,0,2.5,Spider man  ,1,0,0,0,0,0,1,1,0,1
608704,Pizza,3.0,3.0,1,1,1,1,1,1,20.0,Home Alone,1,0,0,0,1,1,1,1,0,1
520383,Pizza,2.0,5.75,1,0,0,1,1,0,3.5,other,1,0,0,0,0,0,1,1,0,2
603793,Pizza,3.0,4.0,1,1,1,1,1,1,15.0,Home Alone,0,0,0,1,0,0,1,0,1,3
603933,Pizza,3.0,4.5,0,0,0,0,1,0,3.0,"""The Truman Show""",0,0,0,1,0,0,1,0,0,1
605519,Pizza,3.0,6.0,0,1,0,1,1,1,5.0,I think of home alone. ,0,0,0,0,0,0,1,1,0,3
524803,Pizza,3.0,4.0,1,1,1,1,1,1,3.5,Breaking Bad,0,0,0,1,0,0,1,1,0,1
629712,Pizza,3.0,5.0,1,1,1,1,1,1,17.0,Interstellar,1,0,0,0,0,0,1,0,0,2
627505,Pizza,3.0,7.0,1,1,1,1,1,1,3.0,Rush Hour,1,0,0,0,1,1,0,0,0,1
526131,Pizza,3.0,5.75,1,0,1,0,1,1,10.0,other,1,0,0,0,0,0,1,1,0,1
607065,Pizza,4.0,5.0,1,1,1,1,1,1,5.0,Scooby Doo,1,0,0,0,0,1,1,0,0,2
500077,Pizza,2.0,8.0,1,1,1,1,1,1,5.0,Back to the Future 2,1,0,0,0,0,0,0,1,0,1
633350,Pizza,2.0,7.0,1,1,1,1,1,1,4.0,Ratatouille,1,0,0,0,0,0,1,1,1,2
601945,Pizza,3.0,7.0,1,1,1,1,1,1,22.0,Princess Diaries (the apology scene),1,0,0,0,1,0,1,1,0,2
629878,Pizza,3.0,3.0,0,0,1,1,1,0,3.5,WALL-E,0,1,0,0,0,0,1,0,0,2
712766,Pizza,4.0,7.5,1,1,1,1,1,1,5.5,Home alone,0,0,0,1,0,1,1,1,0,1
603664,Pizza,2.0,8.0,1,0,0,0,1,0,16.0,Ratatouille,1,0,0,0,0,0,0,0,1,1
840827,Pizza,3.0,6.0,0,1,0,0,0,0,25.0,Avengers,1,0,0,0,0,0,1,0,0,1
604897,Pizza,3.0,15.0,0,0,1,0,1,0,25.0,Teenage Mutant Ninja Turtles,0,0,0,1,0,0,1,1,1,1
525422,Pizza,2.0,3.0,1,0,1,0,1,1,3.5,Spiderman,0,0,0,1,0,0,1,0,0,1
602560,Pizza,3.0,3.0,1,1,1,1,1,1,25.0,other,1,0,0,0,0,0,1,0,0,3
738379,Pizza,3.0,8.5,0,0,1,0,1,0,20.0,Teenage Mutant Ninja Turtles,0,0,0,0,1,1,1,0,0,2
622023,Pizza,2.0,3.0,1,1,1,1,1,1,3.0,Ninja Turtles,1,0,0,0,0,0,1,0,0,1
604770,Pizza,4.0,8.0,1,1,1,1,1,1,5.0,spiderman,1,0,0,0,0,0,1,0,0,2
608318,Pizza,2.0,5.5,0,1,0,1,1,1,5.0,Ratatouille,0,0,1,0,0,0,1,0,0,1
626757,Pizza,2.0,5.0,1,1,1,1,1,1,12.0,Spiderman,0,0,0,1,0,0,1,0,1,4
745297,Pizza,4.0,5.0,1,1,1,1,1,1,7.0,Teenage Mutant Ninja Turtles,1,0,0,0,1,0,1,1,0,1
627599,Pizza,4.0,6.0,0,1,1,1,1,0,5.0,Deadpool,1,0,0,0,1,1,1,1,0,1
520037,Pizza,2.0,4.0,1,1,1,1,1,1,5.0,Home Alone,1,0,0,0,0,0,1,1,1,1
632189,Pizza,2.0,4.0,1,0,1,0,1,1,3.0,Spider man,1,0,0,0,0,0,1,0,0,1
627636,Pizza,3.0,3.0,1,1,1,1,1,1,5.5,Spy Kids 3D,1,0,0,0,0,0,1,0,0,1
295428,Pizza,3.0,5.75,1,1,1,1,1,1,4.0,Squid game,0,0,0,1,0,1,1,1,1,1
228777,Pizza,3.0,5.0,1,1,1,1,1,1,3.5,running man ,1,0,0,0,0,0,0,1,0,1
609278,Pizza,3.0,6.0,1,1,0,0,1,1,5.0,Ratatouille,0,0,0,1,1,1,1,1,0,1
614089,Pizza,2.0,4.0,0,1,0,1,1,1,20.0,The Godfather,1,0,0,0,0,1,0,0,0,1
607517,Pizza,4.0,7.0,1,1,1,1,1,1,14.0,Recep Ivedik 2,1,0,0,0,0,1,1,0,0,2
714607,Pizza,3.0,6.0,1,0,0,1,1,1,5.0,Venom,1,0,0,0,0,1,1,0,0,1
716650,Pizza,4.0,5.75,0,1,0,0,1,1,9.375,other,0,0,0,1,0,0,1,1,1,3
497695,Pizza,2.0,4.0,0,0,0,1,1,1,5.0,Moneyball,0,0,0,1,0,0,1,0,0,2
496858,Pizza,3.0,7.0,1,1,1,1,1,1,16.0,other,0,0,0,0,1,1,1,1,0,2
608688,Pizza,2.0,3.0,0,1,1,1,1,1,2.5,"Inside Out, Teenage Mutant Ninja Turtles",0,0,0,1,1,1,1,1,0,1
604386,Pizza,3.0,6.0,1,1,1,1,1,0,20.0,Ratatouille,0,0,0,1,1,0,1,0,0,1
628559,Pizza,3.0,5.75,1,1,1,1,1,1,10.0,Avengers 1,1,0,0,0,0,0,1,0,0,1
715152,Pizza,3.0,7.0,0,0,1,1,1,1,7.0,other,0,0,0,0,0,0,1,0,0,1
604110,Pizza,3.0,4.0,1,1,1,1,1,1,10.0,Home Alone,0,0,0,0,1,0,1,0,0,1
629010,Pizza,4.0,6.0,1,1,1,1,1,1,4.0,Coraline,0,0,0,0,1,0,1,1,1,2
605254,Pizza,2.0,5.0,0,1,0,0,1,1,4.0,None,1,0,0,0,0,0,1,0,0,3
628990,Pizza,3.0,5.0,1,1,0,0,1,0,6.0,Life if Pi,0,0,0,1,1,1,1,1,0,2
625295,Pizza,3.0,6.0,1,1,1,1,1,0,4.0,Home Alone,0,0,0,1,0,0,1,0,0,1
603415,Pizza,3.0,6.0,1,0,1,0,1,1,4.5,Home Alone,0,0,0,1,0,0,1,0,0,2
635533,Pizza,2.0,6.0,1,0,0,0,0,1,15.0,James Bond 007,1,0,0,0,0,0,1,0,0,2
630389,Pizza,1.0,3.0,0,1,1,1,1,1,20.0,Sam Raimi's Spider Man,0,0,1,0,0,0,1,0,0,4
714901,Pizza,4.0,5.75,1,0,1,0,1,0,5.0,Cloudy with a Chance of Meatballs,1,0,0,0,0,0,1,0,0,3
629792,Pizza,3.0,7.0,1,1,1,1,1,1,15.0,the goofy movie,0,0,0,1,1,1,1,0,0,1
629025,Pizza,3.0,4.0,1,1,1,1,1,0,5.0,Teenage Mutant Ninja Turtles,0,0,0,1,0,0,1,0,1,1
524441,Pizza,3.0,6.0,1,0,1,0,1,0,10.0,Teenage Mutant Ninja Turtles,0,0,0,0,0,1,1,0,0,1
389109,Pizza,4.0,8.0,1,1,1,1,1,1,18.0,Cloudy With a Chance of Meatballs,0,0,0,0,0,0,1,0,0,1
631216,Pizza,2.0,5.0,1,0,0,0,1,0,6.0,A Quiet Place 2,1,0,0,0,0,0,1,0,0,3
738875,Pizza,2.0,3.0,1,1,1,1,1,1,4.0,Home alone,0,0,1,0,1,1,1,1,1,2
634669,Pizza,1.0,4.0,1,1,1,1,1,0,2.29,Carry-On,0,0,0,1,1,1,1,1,0,1
409940,Pizza,3.0,6.0,0,1,0,0,1,0,8.0,spiderman,1,0,0,0,1,0,1,0,0,3
399605,Pizza,2.0,5.0,1,0,1,1,1,1,5.0,Teenage Mutant Ninja Turtles,1,0,0,0,1,0,1,0,0,1
721831,Pizza,4.0,8.0,1,1,1,1,1,1,6.0,Home Alone,1,0,0,0,1,1,1,0,0,1
835223,Pizza,2.0,5.0,1,1,1,1,1,0,4.0,Set it up,1,0,0,0,0,0,1,0,1,3
712938,Pizza,3.0,5.0,0,1,0,1,0,0,15.0,Green Book,1,0,0,0,0,0,1,0,0,1
395712,Pizza,3.0,5.0,1,1,1,1,1,0,6.0,Teenage Mutant Ninja Turtles,0,0,0,0,0,0,1,1,1,3
603388,Pizza,2.0,7.0,1,0,0,0,1,1,12.0,Garfield,1,0,0,0,0,0,1,0,0,2
617774,Pizza,3.0,3.0,1,1,1,0,1,0,22.99,Cars,0,0,1,0,1,0,0,1,0,1
289440,Pizza,3.0,5.0,1,0,0,0,1,1,4.0,Teenage Mutant Ninja Turtles,1,0,0,0,0,0,1,0,1,3
714503,Pizza,2.0,3.5,1,1,1,1,0,0,15.0,"relaxing, comedy",1,0,0,0,0,0,1,0,0,4
714893,Pizza,2.0,5.0,1,0,1,0,1,0,5.0,Home Alone 2,1,0,0,0,0,1,1,0,0,3
601094,Pizza,2.0,7.0,1,1,1,1,1,1,6.5,teenage mutant ninja turtles,0,0,0,1,0,1,1,0,0,1
618150,Pizza,2.0,5.0,1,1,1,1,1,1,25.0,Home alone,1,0,0,0,0,1,1,0,0,3
607944,Pizza,2.0,5.0,0,1,1,0,1,1,5.0,Spiderman,0,0,1,0,0,0,1,0,0,1
629844,Pizza,3.0,4.0,1,1,1,1,1,1,6.0,Ratatouille,0,0,1,0,1,1,1,1,0,1
626482,Pizza,2.0,5.0,1,1,1,1,1,0,5.0,The Godfather,0,0,0,1,0,0,1,0,0,1
609257,Pizza,2.0,5.0,1,1,0,1,1,1,6.0,High School Musical ,0,0,0,0,0,1,1,1,0,1
717921,Pizza,3.0,8.0,1,1,1,1,1,0,4.0,Zootopia,0,0,0,0,0,0,1,1,0,2
181851,Pizza,4.0,5.0,1,1,1,1,1,1,10.0,None,0,0,0,0,0,0,1,0,0,4
629041,Pizza,1.0,3.0,1,0,0,0,1,1,7.0,Home Alone,1,0,0,0,0,0,1,0,1,1
604062,Pizza,4.0,5.75,0,1,0,1,1,1,15.0,"Honestly any movie, pizza is a movie food.",0,0,0,0,0,1,1,0,0,4
716749,Pizza,3.0,4.0,1,0,0,0,0,1,15.0,no,0,1,0,0,0,0,0,0,1,2
633143,Pizza,3.0,5.75,1,0,1,0,1,1,5.0,Teenage Mutant Ninja Turtles,0,0,0,0,0,0,1,0,0,1
743828,Pizza,3.0,10.0,1,1,1,1,1,1,5.0,Mario Movie,0,0,0,1,0,0,1,0,1,3
520861,Pizza,3.0,4.0,1,0,1,0,1,1,12.0,ratatouille,0,0,0,1,0,0,1,0,0,1
517019,Pizza,2.0,5.0,1,1,1,1,1,0,4.0,30 minutes or less,0,0,0,1,1,1,1,1,0,1
626779,Pizza,3.0,5.75,0,1,1,1,1,0,4.0,Home alone,0,0,0,1,0,1,1,0,0,2
611716,Pizza,3.0,3.0,1,1,1,1,1,0,7.0,Home alone,1,0,0,0,1,1,0,0,0,1
193195,Pizza,3.0,5.0,0,0,0,1,1,1,5.0,21 Jump Street,1,0,0,0,0,0,1,1,0,2
627530,Pizza,2.0,7.0,1,1,0,1,1,0,10.0,Free Guy,0,0,0,0,0,0,1,0,0,2
626479,Pizza,2.0,3.0,1,1,1,1,1,1,10.0,other,0,0,0,1,1,0,1,0,0,1
624540,Pizza,3.0,3.0,1,1,0,0,1,1,15.0,harry poter,0,0,1,0,0,0,1,0,1,3
625315,Pizza,2.0,5.5,1,1,0,0,1,1,7.0,Home Alone,0,0,0,1,1,1,1,1,1,2
601941,Pizza,4.0,4.0,1,0,0,0,1,1,15.0,other,0,0,0,0,0,0,0,1,1,4
723968,Pizza,5.0,21.0,1,0,0,0,0,1,10.0,Godfather,0,0,0,0,0,0,1,1,0,1
715806,Pizza,4.0,10.0,1,0,0,1,1,0,7.0,Soul,1,0,0,0,1,1,1,1,0,1
720045,Pizza,3.0,8.0,1,1,1,1,1,1,5.0,The Godfather,0,1,0,0,0,0,1,1,0,4
713585,Pizza,5.0,6.0,1,1,1,1,1,1,30.0,Idk,0,0,0,1,0,0,1,1,0,1
611188,Pizza,3.0,4.0,1,1,1,0,1,1,7.0,Five Nights at Freddy’s,0,0,0,0,0,0,1,1,0,1
606726,Pizza,3.0,10.0,1,1,1,1,1,1,16.0,Life is Beautiful,0,0,1,0,0,0,1,0,1,1
629142,Pizza,3.0,5.0,0,0,1,0,1,0,5.0,other,0,0,0,1,1,0,0,1,0,1
634825,Pizza,3.0,7.0,0,0,0,1,1,0,5.0,Cloudy with a chance of meatballs,0,0,0,1,1,0,1,1,0,1
613409,Pizza,4.0,8.0,0,0,0,1,1,1,8.0,The wicked,0,0,0,0,0,0,1,0,0,3
633224,Pizza,3.0,4.0,1,1,1,1,1,0,2.5,Home Alone,1,0,0,0,0,0,1,0,0,1
738850,Pizza,3.0,6.0,1,1,1,1,1,1,5.0,Five Nights at Freddy's,1,0,0,0,1,1,0,1,0,1
500470,Pizza,4.0,6.0,1,0,1,0,1,1,8.0,Ratatouille,0,0,0,1,0,0,1,0,0,1
13183,Pizza,2.0,6.0,1,1,1,1,1,1,4.0,Harold & Kumar Go to White Castle,0,0,1,0,1,0,1,0,0,1
627169,Pizza,2.0,15.0,1,1,1,0,0,1,20.0,Teenage Mutant Ninja Turtles,1,0,0,0,1,0,1,0,0,3
229041,Pizza,3.0,5.0,1,0,1,0,1,0,5.0,home alone,0,0,0,1,1,1,1,0,0,1
496344,Pizza,1.0,8.0,1,0,0,0,1,0,3.0,Spider Man,1,0,0,0,0,0,1,1,0,2
409723,Pizza,2.0,11.0,1,0,0,0,1,1,7.0,Home alone ,1,0,0,0,1,1,0,1,0,1
630949,Pizza,4.0,7.0,0,0,1,1,1,0,10.0,Lord of the Rings,0,0,0,1,0,1,1,0,0,1
413014,Pizza,3.0,7.0,1,0,0,1,1,1,7.5,"Something fun, like Superbad",0,0,0,1,0,0,1,1,0,2
310438,Pizza,2.0,4.0,1,1,1,1,1,0,5.0,Home Alone,1,0,0,0,0,1,1,1,0,1
627430,Pizza,3.0,4.0,1,1,1,1,1,1,10.0,Home Alone,1,0,0,0,0,1,1,0,1,2
526510,Pizza,2.0,4.0,0,0,0,0,1,0,6.0,None,1,0,0,0,0,0,0,0,1,1
390823,Pizza,3.0,4.0,0,1,0,1,1,1,5.0,The Hangover,1,0,0,0,0,0,1,0,0,2
717116,Pizza,2.0,6.0,1,1,1,1,1,1,20.0,Breaking Bad (not a movie),1,0,0,0,0,0,1,0,0,2
712143,Pizza,3.0,6.0,1,1,0,0,1,0,15.0,Little Italy,1,0,0,0,1,0,0,0,0,2
612538,Pizza,4.0,6.0,1,0,0,1,1,1,3.0,Toy Story,1,0,0,0,0,0,1,1,0,1
627539,Pizza,2.0,4.0,1,0,1,0,1,0,5.0,The Mario Movie,1,0,0,0,0,1,1,0,0,3
603812,Pizza,2.0,5.0,1,0,0,0,1,1,5.0,Home Alone,0,0,1,0,0,0,1,0,0,2
